sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
No girl attacked fewer than two waiters.,No girl attacked at most two waiters.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,0,-60.16439437866211,-60.15770721435547,0
No person would bring fewer than three gates.,No person would bring at most three gates.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,1,-48.235565185546875,-51.22513961791992,1
No actor had driven to fewer than four malls.,No actor had driven to at most four malls.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,2,-61.4522819519043,-65.54590606689453,1
No pedestrian is observing more than seven waiters.,No pedestrian is observing at least seven waiters.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,3,-66.72933959960938,-67.79802703857422,1
No boy could reference fewer than nine drivers.,No boy could reference at most nine drivers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,4,-61.441612243652344,-63.284366607666016,1
No actor has sounded like more than nine mountains.,No actor has sounded like at least nine mountains.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,5,-59.56129837036133,-60.56914520263672,1
No sock annoyed more than seven companies.,No sock annoyed at least seven companies.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,6,-53.19348907470703,-53.59980392456055,1
No man has revealed more than five forks.,No man has revealed at least five forks.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,7,-46.2408447265625,-47.938045501708984,1
No customer would resemble more than eight pictures.,No customer would resemble at least eight pictures.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,8,-51.02716064453125,-55.33684158325195,1
No waiter had referenced more than ten teenagers.,No waiter had referenced at least ten teenagers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,9,-58.71537780761719,-60.02850341796875,1
No adult skated around more than seven lakes.,No adult skated around at least seven lakes.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,10,-59.754302978515625,-61.833946228027344,1
No woman exited fewer than five public parks.,No woman exited at most five public parks.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,11,-61.58210754394531,-61.55280685424805,0
No hamster had climbed down more than five hills.,No hamster had climbed down at least five hills.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,12,-68.5693359375,-66.98662567138672,0
No university might confuse fewer than four men.,No university might confuse at most four men.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,13,-55.635353088378906,-58.64506530761719,1
No lady brought more than two high schools.,No lady brought at least two high schools.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,14,-48.31267547607422,-50.831146240234375,1
No apple distracted fewer than five hospitals.,No apple distracted at most five hospitals.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,15,-57.06653594970703,-58.80402374267578,1
No actor complained about more than two actresses.,No actor complained about at least two actresses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,16,-54.730255126953125,-55.86797332763672,1
No college campus astounded more than five libraries.,No college campus astounded at least five libraries.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,17,-65.59806823730469,-65.26437377929688,0
No cafe is disgusting more than seven associations.,No cafe is disgusting at least seven associations.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,18,-59.88339614868164,-59.82771301269531,0
No guest was touring fewer than nine schools.,No guest was touring at most nine schools.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,19,-59.75600051879883,-58.10038757324219,0
No actor remembers fewer than seven documentaries.,No actor remembers at most seven documentaries.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,20,-54.75703811645508,-56.12397766113281,1
No wheelbarrow does hurt more than nine dancers.,No wheelbarrow does hurt at least nine dancers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,21,-76.4336929321289,-74.7420654296875,0
No driver was researching more than three associations.,No driver was researching at least three associations.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,22,-49.47431945800781,-49.37506103515625,0
No adult is passing fewer than five schools.,No adult is passing at most five schools.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,23,-53.84077072143555,-56.14369201660156,1
No actor could approach fewer than ten waiters.,No actor could approach at most ten waiters.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,24,-70.86978912353516,-71.65734100341797,1
No actress was skated around fewer than seven rivers.,No actress was skated around at most seven rivers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,25,-69.58010864257812,-71.34972381591797,1
No guest visits more than nine cashiers.,No guest visits at least nine cashiers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,26,-59.89056396484375,-61.07810974121094,1
No eggplant has worried fewer than seven boys.,No eggplant has worried at most seven boys.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,27,-68.87271118164062,-70.03213500976562,1
No man had discussed fewer than nine high schools.,No man had discussed at most nine high schools.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,28,-61.72772979736328,-62.257965087890625,1
No cart has aggravated fewer than two actresses.,No cart has aggravated at most two actresses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,29,-63.74309158325195,-66.33879852294922,1
No library had forgotten fewer than nine commentaries.,No library had forgotten at most nine commentaries.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,30,-75.19834899902344,-74.22875213623047,0
No guest is hiding more than eight bikes.,No guest is hiding at least eight bikes.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,31,-53.851585388183594,-53.685970306396484,0
No teenager cleaned more than two college campuses.,No teenager cleaned at least two college campuses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,32,-55.80473709106445,-56.34868240356445,1
No guest had discussed more than three essays.,No guest had discussed at least three essays.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,33,-53.63724899291992,-53.566123962402344,0
No patient had talked to more than four teachers.,No patient had talked to at least four teachers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,34,-52.57166290283203,-55.38722229003906,1
No waitress descends fewer than four ladders.,No waitress descends at most four ladders.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,35,-69.93196868896484,-72.2137222290039,1
No guest discovers more than nine blouses.,No guest discovers at least nine blouses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,36,-61.651947021484375,-64.59574890136719,1
No slope disturbs more than three men.,No slope disturbs at least three men.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,37,-54.998252868652344,-54.97620391845703,0
No guy has helped fewer than seven actresses.,No guy has helped at most seven actresses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,38,-55.047122955322266,-57.21310043334961,1
No guest could wear fewer than three scarves.,No guest could wear at most three scarves.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,39,-63.49937438964844,-65.88914489746094,1
No driver climbs up more than five hills.,No driver climbs up at least five hills.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,40,-56.87812805175781,-54.66046905517578,0
No commentary had sounded like fewer than nine glaciers.,No commentary had sounded like at most nine glaciers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,41,-70.54519653320312,-72.23358917236328,1
No actress upset fewer than ten waiters.,No actress upset at most ten waiters.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,42,-68.36229705810547,-67.86136627197266,0
No girl passes fewer than two college campuses.,No girl passes at most two college campuses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,43,-58.86166000366211,-59.05029296875,1
No pepper resembles more than two sketches.,No pepper resembles at least two sketches.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,44,-48.290374755859375,-51.46293640136719,1
No teacher had arrived at fewer than eight banks.,No teacher had arrived at at most eight banks.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,45,-58.08988571166992,-61.62064743041992,1
No child has complained about fewer than nine documentaries.,No child has complained about at most nine documentaries.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,46,-63.07887268066406,-67.03973388671875,1
No adult lifts more than two cakes.,No adult lifts at least two cakes.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,47,-48.86376953125,-50.13488006591797,1
No museum might fire more than ten teachers.,No museum might fire at least ten teachers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,48,-57.671424865722656,-57.88363265991211,1
No doctor distracted more than four museums.,No doctor distracted at least four museums.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,49,-51.170082092285156,-51.937232971191406,1
No waiter broke fewer than seven forks.,No waiter broke at most seven forks.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,50,-56.42869186401367,-58.076629638671875,1
No government listened to fewer than four waitresses.,No government listened to at most four waitresses.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,51,-65.6266860961914,-70.71308135986328,1
No boy knew fewer than six guys.,No boy knew at most six guys.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,52,-49.55864715576172,-50.64921951293945,1
No painting could embarrass more than five women.,No painting could embarrass at least five women.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,53,-55.973785400390625,-55.718780517578125,0
No teacher helped more than eight waiters.,No teacher helped at least eight waiters.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,54,-55.79167175292969,-59.301231384277344,1
No lady walked through fewer than ten banks.,No lady walked through at most ten banks.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,55,-55.93560791015625,-59.296836853027344,1
No cashier has observed fewer than two waiters.,No cashier has observed at most two waiters.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,56,-69.32569885253906,-72.16390991210938,1
No print will look like more than two fish.,No print will look like at least two fish.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,57,-48.77733612060547,-50.94975280761719,1
No patient hugged more than five people.,No patient hugged at least five people.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,58,-43.603118896484375,-45.29557800292969,1
No fish was looking like more than five drawings.,No fish was looking like at least five drawings.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,59,-56.93331527709961,-58.95562744140625,1
No lady might break more than six bikes.,No lady might break at least six bikes.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,60,-51.58362579345703,-51.97769546508789,1
No hospital had loved fewer than eight patients.,No hospital had loved at most eight patients.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,61,-57.619747161865234,-58.92860794067383,1
No boy notices more than seven schools.,No boy notices at least seven schools.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,62,-49.56475830078125,-51.81770706176758,1
No customer ran around more than three restaurants.,No customer ran around at least three restaurants.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,63,-50.33131790161133,-50.724700927734375,1
No doctor arrived at fewer than nine high schools.,No doctor arrived at at most nine high schools.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,64,-62.44466018676758,-66.2271499633789,1
No actress has run around fewer than ten rivers.,No actress has run around at most ten rivers.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,65,-62.45567321777344,-63.89167785644531,1
No guy took more than five snakes.,No guy took at least five snakes.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,66,-44.85041809082031,-45.949676513671875,1
No person will respect fewer than eight students.,No person will respect at most eight students.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,67,-52.74645233154297,-53.10401916503906,1
