sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Alexander shouldn't learn that a senator that is walking through some restaurant isn't cleaning this dish.,Alexander shouldn't learn what a senator that is walking through some restaurant isn't cleaning this dish.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,914,wh_vs_that_no_gap_long_distance,TRUE
Lissa hasn't forgotten that all dancers that embarrasses Renee didn't break this dish.,Lissa hasn't forgotten what all dancers that embarrasses Renee didn't break this dish.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,271,wh_vs_that_no_gap_long_distance,TRUE
Benjamin revealed that a lot of pedestrians that don't disagree with Stacey disagreed with John.,Benjamin revealed who a lot of pedestrians that don't disagree with Stacey disagreed with John.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,556,wh_vs_that_no_gap_long_distance,TRUE
Angela had remembered that most people that can't respect Elizabeth are finding Regina.,Angela had remembered who most people that can't respect Elizabeth are finding Regina.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,300,wh_vs_that_no_gap_long_distance,TRUE
Jane remembers that this child that has hunted hasn't observed Patrick.,Jane remembers who this child that has hunted hasn't observed Patrick.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,450,wh_vs_that_no_gap_long_distance,TRUE
Mark will know that every guy that argued attacked Winston Churchill.,Mark will know who every guy that argued attacked Winston Churchill.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,898,wh_vs_that_no_gap_long_distance,TRUE
Dan isn't revealing that this sock that upset Harvard University wasn't hurting Suzanne.,Dan isn't revealing who this sock that upset Harvard University wasn't hurting Suzanne.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,737,wh_vs_that_no_gap_long_distance,TRUE
Erin hadn't found out that movies that win were disagreeing with this book.,Erin hadn't found out what movies that win were disagreeing with this book.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,254,wh_vs_that_no_gap_long_distance,TRUE
John has realized that a lake that vaporizes worried Ruth.,John has realized who a lake that vaporizes worried Ruth.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,465,wh_vs_that_no_gap_long_distance,TRUE
Russell knows that the men that weren't descending the hills had disliked Steven.,Russell knows who the men that weren't descending the hills had disliked Steven.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,786,wh_vs_that_no_gap_long_distance,TRUE
Teresa remembers that this person that attacks Allison climbed up every mountain.,Teresa remembers what this person that attacks Allison climbed up every mountain.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,344,wh_vs_that_no_gap_long_distance,TRUE
Rachel revealed that waitresses that have wasted away were arriving at a restaurant.,Rachel revealed what waitresses that have wasted away were arriving at a restaurant.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,67,wh_vs_that_no_gap_long_distance,TRUE
Sara would realize that every dancer that is hunting can't dislike Omar.,Sara would realize who every dancer that is hunting can't dislike Omar.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,849,wh_vs_that_no_gap_long_distance,TRUE
