sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
This box closed.,This box resembled.,syntax,argument_structure,intransitive,943,intransitive,TRUE
Those scarves stretched.,Those scarves scare.,syntax,argument_structure,intransitive,313,intransitive,TRUE
Irene's teachers salute.,Irene's teachers escape from.,syntax,argument_structure,intransitive,249,intransitive,TRUE
A door hasn't flung open.,A door hasn't scared.,syntax,argument_structure,intransitive,209,intransitive,TRUE
The people wouldn't reply.,The people wouldn't conceal.,syntax,argument_structure,intransitive,241,intransitive,TRUE
A glacier condensed.,A glacier looked like.,syntax,argument_structure,intransitive,653,intransitive,TRUE
These sons of Rebecca compete.,These sons of Rebecca drive to.,syntax,argument_structure,intransitive,478,intransitive,TRUE
The Borgias' daughters fall asleep.,The Borgias' daughters lifted.,syntax,argument_structure,intransitive,218,intransitive,TRUE
Those vases cracked.,Those vases looked like.,syntax,argument_structure,intransitive,804,intransitive,TRUE
Every couch slips.,Every couch scared.,syntax,argument_structure,intransitive,710,intransitive,TRUE
Sheila's mentees are studying.,Sheila's mentees are listening to.,syntax,argument_structure,intransitive,526,intransitive,TRUE
A lot of committees hadn't surrendered.,A lot of committees hadn't admired.,syntax,argument_structure,intransitive,206,intransitive,TRUE
The dancer's daughters lie.,The dancer's daughters examined.,syntax,argument_structure,intransitive,39,intransitive,TRUE
