sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
The teacher wasn't ready to scare.,The teacher wasn't bound to scare.,syntax_semantics,control_raising,tough_vs_raising_1,822,tough_vs_raising_1,TRUE
Jacqueline isn't pleasant to scare.,Jacqueline isn't bound to scare.,syntax_semantics,control_raising,tough_vs_raising_1,602,tough_vs_raising_1,TRUE
Samuel wasn't enjoyable to argue about.,Samuel wasn't certain to argue about.,syntax_semantics,control_raising,tough_vs_raising_1,181,tough_vs_raising_1,TRUE
Paula wasn't hard to scare.,Paula wasn't bound to scare.,syntax_semantics,control_raising,tough_vs_raising_1,139,tough_vs_raising_1,TRUE
Rachel isn't easy to talk to.,Rachel isn't about to talk to.,syntax_semantics,control_raising,tough_vs_raising_1,130,tough_vs_raising_1,TRUE
Some bank wasn't unpleasant to go to.,Some bank wasn't sure to go to.,syntax_semantics,control_raising,tough_vs_raising_1,145,tough_vs_raising_1,TRUE
That river wasn't interesting to drive to.,That river wasn't about to drive to.,syntax_semantics,control_raising,tough_vs_raising_1,268,tough_vs_raising_1,TRUE
This museum was ready to go to.,This museum was soon to go to.,syntax_semantics,control_raising,tough_vs_raising_1,511,tough_vs_raising_1,TRUE
That lady isn't hard to escape from.,That lady isn't sure to escape from.,syntax_semantics,control_raising,tough_vs_raising_1,88,tough_vs_raising_1,TRUE
Many actors weren't irritating to talk to.,Many actors weren't certain to talk to.,syntax_semantics,control_raising,tough_vs_raising_1,641,tough_vs_raising_1,TRUE
Those rivers are tough to walk through.,Those rivers are soon to walk through.,syntax_semantics,control_raising,tough_vs_raising_1,638,tough_vs_raising_1,TRUE
Clyde isn't hard to flee from.,Clyde isn't apt to flee from.,syntax_semantics,control_raising,tough_vs_raising_1,886,tough_vs_raising_1,TRUE
Debra is easy to reference.,Debra is unlikely to reference.,syntax_semantics,control_raising,tough_vs_raising_1,623,tough_vs_raising_1,TRUE
Janet's mentees are pleasant to complain about.,Janet's mentees are bound to complain about.,syntax_semantics,control_raising,tough_vs_raising_1,972,tough_vs_raising_1,TRUE
