sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Who were those dancers' hiding this lady shocking.,Who were those dancers' hiding shocking this lady.,syntax,island_effects,sentential_subject_island,60,sentential_subject_island,TRUE
Who did those guests' kissing Nancy confuse.,Who did those guests' kissing confuse Nancy.,syntax,island_effects,sentential_subject_island,335,sentential_subject_island,TRUE
What can most adults' ascending hills sound like.,What can most adults' ascending sound like hills.,syntax,island_effects,sentential_subject_island,163,sentential_subject_island,TRUE
Who could a lot of children' discovering many girls worry.,Who could a lot of children' discovering worry many girls.,syntax,island_effects,sentential_subject_island,50,sentential_subject_island,TRUE
Who are those actresses' questioning Bill distracting.,Who are those actresses' questioning distracting Bill.,syntax,island_effects,sentential_subject_island,272,sentential_subject_island,TRUE
Who have a lot of customers' exploring the school impressed.,Who have a lot of customers' exploring impressed the school.,syntax,island_effects,sentential_subject_island,517,sentential_subject_island,TRUE
Who would those doors' bothering Carmen irritate.,Who would those doors' bothering irritate Carmen.,syntax,island_effects,sentential_subject_island,971,sentential_subject_island,TRUE
Who could all adults' skated around that movie theater sound like.,Who could all adults' skated around sound like that movie theater.,syntax,island_effects,sentential_subject_island,141,sentential_subject_island,TRUE
Who did these men's discovering some school embarrass.,Who did these men's discovering embarrass some school.,syntax,island_effects,sentential_subject_island,261,sentential_subject_island,TRUE
Who would that woman's visiting the Borgias sound like.,Who would that woman's visiting sound like the Borgias.,syntax,island_effects,sentential_subject_island,549,sentential_subject_island,TRUE
Who were a lot of ladies' insulting Eric impressing.,Who were a lot of ladies' insulting impressing Eric.,syntax,island_effects,sentential_subject_island,162,sentential_subject_island,TRUE
Who were some guys' talking to Irene distracting.,Who were some guys' talking to distracting Irene.,syntax,island_effects,sentential_subject_island,465,sentential_subject_island,TRUE
