sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Elaine hadn't thought about herself complaining about Judy.,Elaine hadn't thought about herself complains about Judy.,syntax/semantics,binding,principle_A_case_2,342,principle_A_case_2,TRUE
Cheryl thought about herself helping Melissa.,Cheryl thought about herself helped Melissa.,syntax/semantics,binding,principle_A_case_2,500,principle_A_case_2,TRUE
Donald was thinking about himself taking spotlights.,Donald was thinking about himself took spotlights.,syntax/semantics,binding,principle_A_case_2,256,principle_A_case_2,TRUE
Roger thinks about himself observing Rodney.,Roger thinks about himself observed Rodney.,syntax/semantics,binding,principle_A_case_2,89,principle_A_case_2,TRUE
Stacy won't imagine herself biking to all malls.,Stacy won't imagine herself biked to all malls.,syntax/semantics,binding,principle_A_case_2,11,principle_A_case_2,TRUE
Sara is imagining herself running around some library.,Sara is imagining herself ran around some library.,syntax/semantics,binding,principle_A_case_2,688,principle_A_case_2,TRUE
Those drivers forget about themselves climbing up some ladders.,Those drivers forget about themselves climbed up some ladders.,syntax/semantics,binding,principle_A_case_2,366,principle_A_case_2,TRUE
Most governments haven't thought about themselves annoying all cashiers.,Most governments haven't thought about themselves annoy all cashiers.,syntax/semantics,binding,principle_A_case_2,822,principle_A_case_2,TRUE
Those actresses imagine themselves skated around some hill.,Those actresses imagine themselves skate around some hill.,syntax/semantics,binding,principle_A_case_2,568,principle_A_case_2,TRUE
Brian could think about himself insulting Karen.,Brian could think about himself insulted Karen.,syntax/semantics,binding,principle_A_case_2,456,principle_A_case_2,TRUE
Catherine might think about herself shocking Laura.,Catherine might think about herself shocked Laura.,syntax/semantics,binding,principle_A_case_2,258,principle_A_case_2,TRUE
Craig is thinking about himself criticizing most restaurants.,Craig is thinking about himself criticized most restaurants.,syntax/semantics,binding,principle_A_case_2,354,principle_A_case_2,TRUE
Robert imagines himself visiting Joel.,Robert imagines himself visited Joel.,syntax/semantics,binding,principle_A_case_2,39,principle_A_case_2,TRUE
