sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Those drivers disgusts Dan.,Those drivers disgust Dan.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,105,regular_plural_subject_verb_agreement_1,TRUE
Holly hates Roger.,Holly hate Roger.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,270,regular_plural_subject_verb_agreement_1,TRUE
Some car alarms Mitchell.,Some car alarm Mitchell.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,128,regular_plural_subject_verb_agreement_1,TRUE
James has listened to the senator.,James have listened to the senator.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,403,regular_plural_subject_verb_agreement_1,TRUE
That bike has hurt David.,That bike have hurt David.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,554,regular_plural_subject_verb_agreement_1,TRUE
Some drivers annoys Derek.,Some drivers annoy Derek.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,761,regular_plural_subject_verb_agreement_1,TRUE
A lot of libraries praise Sarah.,A lot of libraries praises Sarah.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,434,regular_plural_subject_verb_agreement_1,TRUE
Angela likes Connie.,Angela like Connie.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,114,regular_plural_subject_verb_agreement_1,TRUE
The Lutherans reference Jason.,The Lutherans references Jason.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,468,regular_plural_subject_verb_agreement_1,TRUE
Dennis breaks these planes.,Dennis break these planes.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,640,regular_plural_subject_verb_agreement_1,TRUE
Jane questions Theodore.,Jane question Theodore.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,402,regular_plural_subject_verb_agreement_1,TRUE
Most associations buy those libraries.,Most associations buys those libraries.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,44,regular_plural_subject_verb_agreement_1,TRUE
Maria is running around a college campus.,Maria are running around a college campus.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,841,regular_plural_subject_verb_agreement_1,TRUE
