sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Melinda was described by Peter.,Melinda was laughed by Peter.,syntax,argument_structure,passive_1,966,passive_1,TRUE
Grace's cousins are bored by Kenneth.,Grace's cousins are reacted by Kenneth.,syntax,argument_structure,passive_1,695,passive_1,TRUE
Becky is watched by Dawn's students.,Becky is joked around by Dawn's students.,syntax,argument_structure,passive_1,815,passive_1,TRUE
Richard's tutors weren't worried by current events.,Richard's tutors weren't smiled by current events.,syntax,argument_structure,passive_1,283,passive_1,TRUE
A lot of adults aren't described by Natalie.,A lot of adults aren't corresponded by Natalie.,syntax,argument_structure,passive_1,359,passive_1,TRUE
Melinda wasn't impressed by these hills.,Melinda wasn't complained by these hills.,syntax,argument_structure,passive_1,665,passive_1,TRUE
Sarah was respected by Julie.,Sarah was shrugged by Julie.,syntax,argument_structure,passive_1,446,passive_1,TRUE
A man was visited by Jennifer.,A man was fallen asleep by Jennifer.,syntax,argument_structure,passive_1,161,passive_1,TRUE
That waitress was approached by Joseph.,That waitress was answered by Joseph.,syntax,argument_structure,passive_1,607,passive_1,TRUE
Connie's dermatologists aren't admired by Tracy.,Connie's dermatologists aren't testified by Tracy.,syntax,argument_structure,passive_1,417,passive_1,TRUE
Sharon was watched by some lady.,Sharon was concurred by some lady.,syntax,argument_structure,passive_1,610,passive_1,TRUE
Some cashier wasn't hired by Danielle.,Some cashier wasn't murmured by Danielle.,syntax,argument_structure,passive_1,789,passive_1,TRUE
Melanie's cousins were disgusted by many rugs.,Melanie's cousins were cooperated by many rugs.,syntax,argument_structure,passive_1,301,passive_1,TRUE
