sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Homer would explore.,Homer would sound like.,syntax,argument_structure,drop_argument,998,drop_argument,TRUE
Tiffany's mentor hadn't helped.,Tiffany's mentor hadn't looked like.,syntax,argument_structure,drop_argument,699,drop_argument,TRUE
Rebecca wasn't leaving.,Rebecca wasn't fleeing from.,syntax,argument_structure,drop_argument,701,drop_argument,TRUE
Tamara loved.,Tamara disagrees with.,syntax,argument_structure,drop_argument,91,drop_argument,TRUE
Monet had run around.,Monet had complained about.,syntax,argument_structure,drop_argument,633,drop_argument,TRUE
Stephanie won't explore.,Stephanie won't admire.,syntax,argument_structure,drop_argument,59,drop_argument,TRUE
The Impressionists climb down.,The Impressionists talked about.,syntax,argument_structure,drop_argument,320,drop_argument,TRUE
Sandra wasn't watching.,Sandra wasn't complaining about.,syntax,argument_structure,drop_argument,458,drop_argument,TRUE
April was observing.,April was examining.,syntax,argument_structure,drop_argument,498,drop_argument,TRUE
Patients buy.,Patients concealed.,syntax,argument_structure,drop_argument,354,drop_argument,TRUE
Rhonda investigated.,Rhonda boasts about.,syntax,argument_structure,drop_argument,886,drop_argument,TRUE
Heather might investigate.,Heather might argue about.,syntax,argument_structure,drop_argument,301,drop_argument,TRUE
Sarah might exit.,Sarah might return to.,syntax,argument_structure,drop_argument,88,drop_argument,TRUE
Rachel climbs down.,Rachel resembled.,syntax,argument_structure,drop_argument,313,drop_argument,TRUE
