sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Heather had skated around this hard art gallery.,Heather had skated around this hard art galleries.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,252,determiner_noun_agreement_with_adjective_1,TRUE
Liam was kissing those important actresses.,Liam was kissing those important actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,525,determiner_noun_agreement_with_adjective_1,TRUE
Some cashier remembers that small guest.,Some cashier remembers that small guests.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,267,determiner_noun_agreement_with_adjective_1,TRUE
Many pedestrians like that popular hospital.,Many pedestrians like that popular hospitals.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,477,determiner_noun_agreement_with_adjective_1,TRUE
Ann had taken this black turtle.,Ann had taken this black turtles.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,942,determiner_noun_agreement_with_adjective_1,TRUE
Heather hates these long commentaries.,Heather hates these long commentary.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,118,determiner_noun_agreement_with_adjective_1,TRUE
Marcus boycotts this small movie theater.,Marcus boycotts this small movie theaters.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,567,determiner_noun_agreement_with_adjective_1,TRUE
The snake was disturbing that big actress.,The snake was disturbing that big actresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,776,determiner_noun_agreement_with_adjective_1,TRUE
Those doctors hugged these happy actresses.,Those doctors hugged these happy actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,893,determiner_noun_agreement_with_adjective_1,TRUE
James was approaching these bad doctors.,James was approaching these bad doctor.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,22,determiner_noun_agreement_with_adjective_1,TRUE
The cat resembled that red sketch.,The cat resembled that red sketches.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,49,determiner_noun_agreement_with_adjective_1,TRUE
Lissa explored this important restaurant.,Lissa explored this important restaurants.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,397,determiner_noun_agreement_with_adjective_1,TRUE
William respects that popular guest.,William respects that popular guests.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,484,determiner_noun_agreement_with_adjective_1,TRUE
Those patients escape from these cheap movie theaters.,Those patients escape from these cheap movie theater.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,196,determiner_noun_agreement_with_adjective_1,TRUE
