sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Many girls that didn't disturb Peter long to kiss.,Many girls that didn't disturb Peter longs to kiss.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,776,distractor_agreement_relative_clause,TRUE
Actors who revealed Richard have compromised.,Actors who revealed Richard has compromised.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,85,distractor_agreement_relative_clause,TRUE
That organization that fired actresses isn't helping Theodore.,That organization that fired actresses aren't helping Theodore.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,750,distractor_agreement_relative_clause,TRUE
Many boys who dislike Dawn talk.,Many boys who dislike Dawn talks.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,418,distractor_agreement_relative_clause,TRUE
The cashiers who left Brad protest.,The cashiers who left Brad protests.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,760,distractor_agreement_relative_clause,TRUE
Those girls that distracts Julia aren't wishing to cook.,Those girls that distracts Julia isn't wishing to cook.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,49,distractor_agreement_relative_clause,TRUE
The waiter that had appreciated many teenagers has littered.,The waiter that had appreciated many teenagers have littered.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,467,distractor_agreement_relative_clause,TRUE
These senators who didn't respect Valerie aren't longing to tour a school.,These senators who didn't respect Valerie isn't longing to tour a school.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,496,distractor_agreement_relative_clause,TRUE
That driver who is scaring dancers boycotts the organization.,That driver who is scaring dancers boycott the organization.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,924,distractor_agreement_relative_clause,TRUE
Most senators who would praise Maria need to learn.,Most senators who would praise Maria needs to learn.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,113,distractor_agreement_relative_clause,TRUE
Most boys that insulted Rachelle have questioned Tiffany.,Most boys that insulted Rachelle has questioned Tiffany.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,586,distractor_agreement_relative_clause,TRUE
The adult that hurt a lot of boys complains about those documentaries.,The adult that hurt a lot of boys complain about those documentaries.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,638,distractor_agreement_relative_clause,TRUE
A boy that hugs guests has biked to the school.,A boy that hugs guests have biked to the school.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,364,distractor_agreement_relative_clause,TRUE
