sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Rebecca's brothers that had messed up these cars would not ever hug Heather.,Rebecca's brothers that had not messed up these cars would ever hug Heather.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,995,sentential_negation_npi_scope,TRUE
The actor that might run around all restaurants should not ever grin.,The actor that might not run around all restaurants should ever grin.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,492,sentential_negation_npi_scope,TRUE
Douglas's girlfriend that has observed Catherine has not ever loved many reports.,Douglas's girlfriend that has not observed Catherine has ever loved many reports.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,375,sentential_negation_npi_scope,TRUE
Heidi's husband who has known Paula does not ever require Sheila to clean some gate.,Heidi's husband who has not known Paula does ever require Sheila to clean some gate.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,354,sentential_negation_npi_scope,TRUE
Daniel's husband who is taking these chairs had not ever remembered who hadn't examined the documentaries.,Daniel's husband who is not taking these chairs had ever remembered who hadn't examined the documentaries.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,243,sentential_negation_npi_scope,TRUE
Some newspaper article about politics that can embarrass Allison could not ever bore Larry.,Some newspaper article about politics that can not embarrass Allison could ever bore Larry.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,992,sentential_negation_npi_scope,TRUE
This actress who will return to those boys has not ever littered.,This actress who will not return to those boys has ever littered.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,599,sentential_negation_npi_scope,TRUE
A cashier who is concealing Andrea has not ever played.,A cashier who is not concealing Andrea has ever played.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,859,sentential_negation_npi_scope,TRUE
Those lights that are bothering a lot of senators might not ever brighten.,Those lights that are not bothering a lot of senators might ever brighten.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,377,sentential_negation_npi_scope,TRUE
Sheila's ex-boyfriend that is breaking many carriages does not ever sigh.,Sheila's ex-boyfriend that is not breaking many carriages does ever sigh.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,950,sentential_negation_npi_scope,TRUE
Scott's lawyers who can like some gate had not ever respected Leslie.,Scott's lawyers who can not like some gate had ever respected Leslie.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,385,sentential_negation_npi_scope,TRUE
That cousin of William that had left Victoria should not ever practice.,That cousin of William that had not left Victoria should ever practice.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,921,sentential_negation_npi_scope,TRUE
