sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Each documentary about the Clintons is there upsetting schools.,There is each documentary about the Clintons upsetting schools.,semantics,quantifiers,existential_there_quantifiers_2,726,existential_there_quantifiers_2,TRUE
Most plays about Harvard University were there confusing Randolf.,There were most plays about Harvard University confusing Randolf.,semantics,quantifiers,existential_there_quantifiers_2,325,existential_there_quantifiers_2,TRUE
Most art galleries were there annoying Kristen.,There were most art galleries annoying Kristen.,semantics,quantifiers,existential_there_quantifiers_2,173,existential_there_quantifiers_2,TRUE
All documentaries about the Great Lakes are there scaring Allison.,There are all documentaries about the Great Lakes scaring Allison.,semantics,quantifiers,existential_there_quantifiers_2,413,existential_there_quantifiers_2,TRUE
All public parks are there disgusting Beverly.,There are all public parks disgusting Beverly.,semantics,quantifiers,existential_there_quantifiers_2,446,existential_there_quantifiers_2,TRUE
Every picture of Heidi was there distracting Catherine.,There was every picture of Heidi distracting Catherine.,semantics,quantifiers,existential_there_quantifiers_2,839,existential_there_quantifiers_2,TRUE
All rivers were there vaporizing.,There were all rivers vaporizing.,semantics,quantifiers,existential_there_quantifiers_2,991,existential_there_quantifiers_2,TRUE
Most nephews of Irene were there telephoning.,There were most nephews of Irene telephoning.,semantics,quantifiers,existential_there_quantifiers_2,14,existential_there_quantifiers_2,TRUE
Each banana is there stunning some waiter.,There is each banana stunning some waiter.,semantics,quantifiers,existential_there_quantifiers_2,834,existential_there_quantifiers_2,TRUE
Every bird is there finding some water.,There is every bird finding some water.,semantics,quantifiers,existential_there_quantifiers_2,250,existential_there_quantifiers_2,TRUE
Every woman was there intending to remember Thomas.,There was every woman intending to remember Thomas.,semantics,quantifiers,existential_there_quantifiers_2,83,existential_there_quantifiers_2,TRUE
All paintings were there scaring Jennifer.,There were all paintings scaring Jennifer.,semantics,quantifiers,existential_there_quantifiers_2,626,existential_there_quantifiers_2,TRUE
Every play about Winston Churchill is there stunning this boy.,There is every play about Winston Churchill stunning this boy.,semantics,quantifiers,existential_there_quantifiers_2,417,existential_there_quantifiers_2,TRUE
