sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Had every couch ever cracked?,Every couch had ever cracked.,semantics,npi_licensing,matrix_question_npi_licensor_present,669,matrix_question_npi_licensor_present,TRUE
Have the skateboards ever accelerated?,The skateboards have ever accelerated.,semantics,npi_licensing,matrix_question_npi_licensor_present,935,matrix_question_npi_licensor_present,TRUE
Could Deanna ever see a girl?,Deanna could ever see a girl.,semantics,npi_licensing,matrix_question_npi_licensor_present,124,matrix_question_npi_licensor_present,TRUE
Have the blouses ever loosened?,The blouses have ever loosened.,semantics,npi_licensing,matrix_question_npi_licensor_present,171,matrix_question_npi_licensor_present,TRUE
Could Carla ever salute?,Carla could ever salute.,semantics,npi_licensing,matrix_question_npi_licensor_present,276,matrix_question_npi_licensor_present,TRUE
Had some painting ever looked like Pamela?,Some painting had ever looked like Pamela.,semantics,npi_licensing,matrix_question_npi_licensor_present,430,matrix_question_npi_licensor_present,TRUE
Would many customers ever bake?,Many customers would ever bake.,semantics,npi_licensing,matrix_question_npi_licensor_present,8,matrix_question_npi_licensor_present,TRUE
Has Christina ever nodded?,Christina has ever nodded.,semantics,npi_licensing,matrix_question_npi_licensor_present,316,matrix_question_npi_licensor_present,TRUE
Had Alexander ever hugged Stacey?,Alexander had ever hugged Stacey.,semantics,npi_licensing,matrix_question_npi_licensor_present,736,matrix_question_npi_licensor_present,TRUE
Might the Impressionists ever reunite?,The Impressionists might ever reunite.,semantics,npi_licensing,matrix_question_npi_licensor_present,130,matrix_question_npi_licensor_present,TRUE
Should those pants ever flatten?,Those pants should ever flatten.,semantics,npi_licensing,matrix_question_npi_licensor_present,512,matrix_question_npi_licensor_present,TRUE
Had Russell ever kissed Anna?,Russell had ever kissed Anna.,semantics,npi_licensing,matrix_question_npi_licensor_present,301,matrix_question_npi_licensor_present,TRUE
Have some icicles ever vaporized?,Some icicles have ever vaporized.,semantics,npi_licensing,matrix_question_npi_licensor_present,351,matrix_question_npi_licensor_present,TRUE
