sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
These hamsters irritated this doctor.,These hamsters irritated this doctors.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,141,determiner_noun_agreement_1,TRUE
Larry doesn't hate that play.,Larry doesn't hate that plays.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,197,determiner_noun_agreement_1,TRUE
All paintings will look like that pamphlet.,All paintings will look like that pamphlets.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,830,determiner_noun_agreement_1,TRUE
Some doctor is breaking those couches.,Some doctor is breaking those couch.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,146,determiner_noun_agreement_1,TRUE
A waiter didn't wear this glove.,A waiter didn't wear this gloves.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,435,determiner_noun_agreement_1,TRUE
A box alarms these actresses.,A box alarms these actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,624,determiner_noun_agreement_1,TRUE
Waitresses arrive at these grocery stores.,Waitresses arrive at these grocery store.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,769,determiner_noun_agreement_1,TRUE
Raymond is selling this sketch.,Raymond is selling this sketches.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,0,determiner_noun_agreement_1,TRUE
The Clintons attack those ladies.,The Clintons attack those lady.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,388,determiner_noun_agreement_1,TRUE
Paul appreciates this waitress.,Paul appreciates this waitresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,493,determiner_noun_agreement_1,TRUE
Margaret saw those senators.,Margaret saw those senator.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,209,determiner_noun_agreement_1,TRUE
A lot of men can skate around that movie theater.,A lot of men can skate around that movie theaters.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,509,determiner_noun_agreement_1,TRUE
Walter wasn't complaining about that cashier.,Walter wasn't complaining about that cashiers.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,474,determiner_noun_agreement_1,TRUE
