sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
The actor wasn't investigating a lot of men that the waiter remembered that hadn't examined the stories.,The actor wasn't investigating what a lot of men that the waiter remembered hadn't examined the stories.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,453,wh_questions_subject_gap_long_distance,TRUE
Sharon remembers some school that the people talk about that was astounding some senator.,Sharon remembers who some school that the people talk about was astounding some senator.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,79,wh_questions_subject_gap_long_distance,TRUE
Beverly noticed every bicycle that Jodi reveals that has alarmed this lady.,Beverly noticed who every bicycle that Jodi reveals has alarmed this lady.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,430,wh_questions_subject_gap_long_distance,TRUE
Dawn remembers this high school that Elizabeth is exploring that does resemble that photograph.,Dawn remembers what this high school that Elizabeth is exploring does resemble that photograph.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,696,wh_questions_subject_gap_long_distance,TRUE
Gregory remembers most girls that Paula hires that won't clean some candles.,Gregory remembers what most girls that Paula hires won't clean some candles.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,590,wh_questions_subject_gap_long_distance,TRUE
Marie remembers all commentaries that some university boasted about that disagree with many synopses.,Marie remembers what all commentaries that some university boasted about disagree with many synopses.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,812,wh_questions_subject_gap_long_distance,TRUE
Waitresses remember some public parks that Jessica does think about that stun students.,Waitresses remember who some public parks that Jessica does think about stun students.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,546,wh_questions_subject_gap_long_distance,TRUE
Samantha can't know the person that Joel distracted that heals most waiters.,Samantha can't know who the person that Joel distracted heals most waiters.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,759,wh_questions_subject_gap_long_distance,TRUE
Andrew hadn't seen some window that Timothy cleaned that upset that teacher.,Andrew hadn't seen who some window that Timothy cleaned upset that teacher.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,709,wh_questions_subject_gap_long_distance,TRUE
Deanna hasn't questioned all children that Allison hadn't disgusted that discovered the dog.,Deanna hasn't questioned what all children that Allison hadn't disgusted discovered the dog.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,574,wh_questions_subject_gap_long_distance,TRUE
Marie notices the cup that Galileo hid that aggravated the student.,Marie notices who the cup that Galileo hid aggravated the student.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,327,wh_questions_subject_gap_long_distance,TRUE
Bradley researches a sketch that Guy bought that impresses some museum.,Bradley researches what a sketch that Guy bought impresses some museum.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,400,wh_questions_subject_gap_long_distance,TRUE
Teresa knew a lot of girls that those ladies were disagreeing with that climbed down that hill.,Teresa knew what a lot of girls that those ladies were disagreeing with climbed down that hill.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,810,wh_questions_subject_gap_long_distance,TRUE
