sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Rhonda was helped.,Rhonda was waved.,syntax,argument_structure,passive_2,936,passive_2,TRUE
This actor was visited.,This actor was talked.,syntax,argument_structure,passive_2,790,passive_2,TRUE
Jerry was upset.,Jerry was screamed.,syntax,argument_structure,passive_2,998,passive_2,TRUE
Sherry wasn't distracted.,Sherry wasn't nodded.,syntax,argument_structure,passive_2,915,passive_2,TRUE
Brothers of Sally are left.,Brothers of Sally are negotiated.,syntax,argument_structure,passive_2,56,passive_2,TRUE
Renee isn't impressed.,Renee isn't compromised.,syntax,argument_structure,passive_2,500,passive_2,TRUE
Sally wasn't observed.,Sally wasn't boasted.,syntax,argument_structure,passive_2,213,passive_2,TRUE
Angela isn't impressed.,Angela isn't gotten fired.,syntax,argument_structure,passive_2,673,passive_2,TRUE
A lot of ladies aren't confused.,A lot of ladies aren't suffered.,syntax,argument_structure,passive_2,338,passive_2,TRUE
Jodi's lawyers were praised.,Jodi's lawyers were struggled.,syntax,argument_structure,passive_2,20,passive_2,TRUE
These patients aren't disgusted.,These patients aren't testified.,syntax,argument_structure,passive_2,147,passive_2,TRUE
Samuel's best friends were criticized.,Samuel's best friends were disagreed.,syntax,argument_structure,passive_2,249,passive_2,TRUE
Jessica's sister was respected.,Jessica's sister was argued.,syntax,argument_structure,passive_2,785,passive_2,TRUE
The ladies aren't visited.,The ladies aren't corresponded.,syntax,argument_structure,passive_2,211,passive_2,TRUE
