sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Even these pedestrians also complained.,Even these pedestrians ever complained.,semantics,npi_licensing,npi_present_1,665,npi_present_1,TRUE
Even Renee certainly sneezed.,Even Renee ever sneezed.,semantics,npi_licensing,npi_present_1,581,npi_present_1,TRUE
Even Ronald certainly studies.,Even Ronald ever studies.,semantics,npi_licensing,npi_present_1,844,npi_present_1,TRUE
Even many teenagers clearly boycott those legislatures.,Even many teenagers ever boycott those legislatures.,semantics,npi_licensing,npi_present_1,1,npi_present_1,TRUE
Even Guy certainly murmured.,Even Guy ever murmured.,semantics,npi_licensing,npi_present_1,583,npi_present_1,TRUE
Even the governments certainly manage to listen to Tina.,Even the governments ever manage to listen to Tina.,semantics,npi_licensing,npi_present_1,283,npi_present_1,TRUE
Even a window can clearly shut.,Even a window can ever shut.,semantics,npi_licensing,npi_present_1,885,npi_present_1,TRUE
Even Brad has also come here.,Even Brad has ever come here.,semantics,npi_licensing,npi_present_1,953,npi_present_1,TRUE
Even Travis clearly hunted.,Even Travis ever hunted.,semantics,npi_licensing,npi_present_1,765,npi_present_1,TRUE
Even Benjamin would often know what accelerate.,Even Benjamin would ever know what accelerate.,semantics,npi_licensing,npi_present_1,701,npi_present_1,TRUE
Even Peter has clearly shrugged.,Even Peter has ever shrugged.,semantics,npi_licensing,npi_present_1,33,npi_present_1,TRUE
Even the restaurant often distracts Pamela.,Even the restaurant ever distracts Pamela.,semantics,npi_licensing,npi_present_1,489,npi_present_1,TRUE
Even this unicycle might really crash.,Even this unicycle might ever crash.,semantics,npi_licensing,npi_present_1,421,npi_present_1,TRUE
