sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Who would Larry learn he isn't visiting?,Who would Larry learn who isn't visiting?,syntax,island_effects,wh_island,347,wh_island,TRUE
What might Candice reveal she returns to?,What might Candice reveal who returns to?,syntax,island_effects,wh_island,876,wh_island,TRUE
What hasn't Michelle figured out she took?,What hasn't Michelle figured out who took?,syntax,island_effects,wh_island,715,wh_island,TRUE
What might Paula realize she will ascend?,What might Paula realize who will ascend?,syntax,island_effects,wh_island,352,wh_island,TRUE
What doesn't Todd remember he cleaned?,What doesn't Todd remember who cleaned?,syntax,island_effects,wh_island,462,wh_island,TRUE
What hasn't Robert investigated he had bought?,What hasn't Robert investigated who had bought?,syntax,island_effects,wh_island,705,wh_island,TRUE
What wasn't Jason remembering he boycotted?,What wasn't Jason remembering who boycotted?,syntax,island_effects,wh_island,316,wh_island,TRUE
What doesn't Jill find out she hasn't forgotten?,What doesn't Jill find out who hasn't forgotten?,syntax,island_effects,wh_island,82,wh_island,TRUE
Who were some universities forgetting they had distracted?,Who were some universities forgetting who had distracted?,syntax,island_effects,wh_island,935,wh_island,TRUE
Who might Renee remember she would astound?,Who might Renee remember what would astound?,syntax,island_effects,wh_island,782,wh_island,TRUE
Who would Raymond know he hadn't cared for?,Who would Raymond know who hadn't cared for?,syntax,island_effects,wh_island,284,wh_island,TRUE
What would Kristen forget she skated around?,What would Kristen forget who skated around?,syntax,island_effects,wh_island,276,wh_island,TRUE
What had Jennifer known she boycotted?,What had Jennifer known who boycotted?,syntax,island_effects,wh_island,478,wh_island,TRUE
