sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Nina talks to Melissa's student.,Nina mutters Melissa's student.,syntax,argument_structure,transitive,632,transitive,TRUE
Debra wears many skirts.,Debra slumps over many skirts.,syntax,argument_structure,transitive,5,transitive,TRUE
A lot of children had noticed all teachers.,A lot of children had sighed all teachers.,syntax,argument_structure,transitive,457,transitive,TRUE
Beth will embarrass Eric.,Beth will concur Eric.,syntax,argument_structure,transitive,50,transitive,TRUE
Monet's student broke unicycles.,Monet's student copes unicycles.,syntax,argument_structure,transitive,362,transitive,TRUE
Sharon had watched Julia's grandmothers.,Sharon had waved Julia's grandmothers.,syntax,argument_structure,transitive,371,transitive,TRUE
Craig's piano teachers shouldn't have ladders.,Craig's piano teachers shouldn't talk ladders.,syntax,argument_structure,transitive,619,transitive,TRUE
Angela isn't watching the grandfathers of Caroline.,Angela isn't waving the grandfathers of Caroline.,syntax,argument_structure,transitive,543,transitive,TRUE
Erin is scanning Clyde's supervisor.,Erin is talking Clyde's supervisor.,syntax,argument_structure,transitive,891,transitive,TRUE
Some shawl might resemble many prints of the screen.,Some shawl might fall many prints of the screen.,syntax,argument_structure,transitive,82,transitive,TRUE
Thomas didn't talk to a customer.,Thomas didn't die a customer.,syntax,argument_structure,transitive,894,transitive,TRUE
Tonya loved Joel's daughter.,Tonya speaks up Joel's daughter.,syntax,argument_structure,transitive,630,transitive,TRUE
These grandsons of Michelle biked to most schools.,These grandsons of Michelle chuckle most schools.,syntax,argument_structure,transitive,712,transitive,TRUE
The high schools are disturbing Tanya.,The high schools are falling Tanya.,syntax,argument_structure,transitive,542,transitive,TRUE
