sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Most legislatures have not ever benefited.,Most legislatures have probably ever benefited.,semantics,npi_licensing,sentential_negation_npi_licensor_present,888,sentential_negation_npi_licensor_present,TRUE
A lot of skateboards did not ever slow.,A lot of skateboards did really ever slow.,semantics,npi_licensing,sentential_negation_npi_licensor_present,819,sentential_negation_npi_licensor_present,TRUE
Bradley had not ever thought about who messed up a lot of pants.,Bradley had fortunately ever thought about who messed up a lot of pants.,semantics,npi_licensing,sentential_negation_npi_licensor_present,481,sentential_negation_npi_licensor_present,TRUE
Diana has not ever drunk.,Diana has really ever drunk.,semantics,npi_licensing,sentential_negation_npi_licensor_present,307,sentential_negation_npi_licensor_present,TRUE
Eric should not ever sneeze.,Eric should fortunately ever sneeze.,semantics,npi_licensing,sentential_negation_npi_licensor_present,922,sentential_negation_npi_licensor_present,TRUE
Dancers have not ever threatened to upset Monet.,Dancers have really ever threatened to upset Monet.,semantics,npi_licensing,sentential_negation_npi_licensor_present,667,sentential_negation_npi_licensor_present,TRUE
Tammy will not ever boast.,Tammy will probably ever boast.,semantics,npi_licensing,sentential_negation_npi_licensor_present,872,sentential_negation_npi_licensor_present,TRUE
Timothy should not ever listen to Stephen.,Timothy should probably ever listen to Stephen.,semantics,npi_licensing,sentential_negation_npi_licensor_present,305,sentential_negation_npi_licensor_present,TRUE
Lori will not ever visit that hill.,Lori will fortunately ever visit that hill.,semantics,npi_licensing,sentential_negation_npi_licensor_present,658,sentential_negation_npi_licensor_present,TRUE
That jacket does not ever dry.,That jacket does fortunately ever dry.,semantics,npi_licensing,sentential_negation_npi_licensor_present,491,sentential_negation_npi_licensor_present,TRUE
Some school could not ever compete.,Some school could probably ever compete.,semantics,npi_licensing,sentential_negation_npi_licensor_present,180,sentential_negation_npi_licensor_present,TRUE
Dawn does not ever have that spotlight.,Dawn does fortunately ever have that spotlight.,semantics,npi_licensing,sentential_negation_npi_licensor_present,617,sentential_negation_npi_licensor_present,TRUE
Most convertibles had not ever moved.,Most convertibles had fortunately ever moved.,semantics,npi_licensing,sentential_negation_npi_licensor_present,231,sentential_negation_npi_licensor_present,TRUE
