sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
The known patients are confident.,The knew patients are confident.,morphology,irregular_forms,irregular_past_participle_adjectives,134,irregular_past_participle_adjectives,TRUE
The hidden deer wasn't yellow.,The hid deer wasn't yellow.,morphology,irregular_forms,irregular_past_participle_adjectives,604,irregular_past_participle_adjectives,TRUE
The forgotten plays aren't popular.,The forgot plays aren't popular.,morphology,irregular_forms,irregular_past_participle_adjectives,536,irregular_past_participle_adjectives,TRUE
The known guests were employed.,The knew guests were employed.,morphology,irregular_forms,irregular_past_participle_adjectives,468,irregular_past_participle_adjectives,TRUE
The known drivers aren't young.,The knew drivers aren't young.,morphology,irregular_forms,irregular_past_participle_adjectives,269,irregular_past_participle_adjectives,TRUE
The broken convertible wasn't blue.,The broke convertible wasn't blue.,morphology,irregular_forms,irregular_past_participle_adjectives,915,irregular_past_participle_adjectives,TRUE
The broken couches are important.,The broke couches are important.,morphology,irregular_forms,irregular_past_participle_adjectives,838,irregular_past_participle_adjectives,TRUE
The forgotten women were small.,The forgot women were small.,morphology,irregular_forms,irregular_past_participle_adjectives,232,irregular_past_participle_adjectives,TRUE
The forgotten actress was exposed.,The forgot actress was exposed.,morphology,irregular_forms,irregular_past_participle_adjectives,826,irregular_past_participle_adjectives,TRUE
The worn jackets weren't cheap.,The wore jackets weren't cheap.,morphology,irregular_forms,irregular_past_participle_adjectives,974,irregular_past_participle_adjectives,TRUE
The broken carriage isn't yellow.,The broke carriage isn't yellow.,morphology,irregular_forms,irregular_past_participle_adjectives,410,irregular_past_participle_adjectives,TRUE
The worn skirt was important.,The wore skirt was important.,morphology,irregular_forms,irregular_past_participle_adjectives,19,irregular_past_participle_adjectives,TRUE
The hidden casseroles aren't out in the open.,The hid casseroles aren't out in the open.,morphology,irregular_forms,irregular_past_participle_adjectives,943,irregular_past_participle_adjectives,TRUE
