sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Katherine has spun around.,Katherine has criticized.,syntax,argument_structure,inchoative,141,inchoative,TRUE
The plane breaks.,The plane cleans.,syntax,argument_structure,inchoative,197,inchoative,TRUE
Some muffins bake.,Some muffins find.,syntax,argument_structure,inchoative,830,inchoative,TRUE
The cars roll.,The cars looked like.,syntax,argument_structure,inchoative,146,inchoative,TRUE
Planes would steer.,Planes would lift.,syntax,argument_structure,inchoative,435,inchoative,TRUE
The couches chipped.,The couches fixed.,syntax,argument_structure,inchoative,488,inchoative,TRUE
Catherine worries.,Catherine stuns.,syntax,argument_structure,inchoative,751,inchoative,TRUE
All tomatoes can ripen.,All tomatoes can look like.,syntax,argument_structure,inchoative,493,inchoative,TRUE
Those rivers melt.,Those rivers brought.,syntax,argument_structure,inchoative,509,inchoative,TRUE
The chairs broke.,The chairs liked.,syntax,argument_structure,inchoative,474,inchoative,TRUE
Some dress is twisting.,Some dress is finding.,syntax,argument_structure,inchoative,105,inchoative,TRUE
Most coats stretch.,Most coats clean.,syntax,argument_structure,inchoative,81,inchoative,TRUE
That sweater has wrinkled.,That sweater has worn.,syntax,argument_structure,inchoative,802,inchoative,TRUE
This candle did dim.,This candle did look like.,syntax,argument_structure,inchoative,15,inchoative,TRUE
Most cucumbers ripened.,Most cucumbers bought.,syntax,argument_structure,inchoative,63,inchoative,TRUE
