sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Benjamin was describing Charles.,That light was describing Charles.,syntax,s-selection,animate_subject_trans,690,animate_subject_trans,TRUE
Daniel kissed Kendra.,Science kissed Kendra.,syntax,s-selection,animate_subject_trans,922,animate_subject_trans,TRUE
Russell was running around that school.,The sweater was running around that school.,syntax,s-selection,animate_subject_trans,84,animate_subject_trans,TRUE
Grace wasn't walking through public parks.,That computer wasn't walking through public parks.,syntax,s-selection,animate_subject_trans,956,animate_subject_trans,TRUE
Bruce has returned to Naomi.,The movie has returned to Naomi.,syntax,s-selection,animate_subject_trans,854,animate_subject_trans,TRUE
Children could know Samuel.,Those shirts could know Samuel.,syntax,s-selection,animate_subject_trans,972,animate_subject_trans,TRUE
Rhonda will lift a tomato.,That movie will lift a tomato.,syntax,s-selection,animate_subject_trans,401,animate_subject_trans,TRUE
Derek criticizes Julie.,Some fish criticizes Julie.,syntax,s-selection,animate_subject_trans,461,animate_subject_trans,TRUE
Michael hadn't known Samuel.,A cat hadn't known Samuel.,syntax,s-selection,animate_subject_trans,641,animate_subject_trans,TRUE
Amelia walks through those hills.,Some essay walks through those hills.,syntax,s-selection,animate_subject_trans,185,animate_subject_trans,TRUE
Nancy questions Kenneth.,The dish questions Kenneth.,syntax,s-selection,animate_subject_trans,182,animate_subject_trans,TRUE
Thomas attacks Todd.,Some company attacks Todd.,syntax,s-selection,animate_subject_trans,650,animate_subject_trans,TRUE
Naomi could work with that teacher.,That fish could work with that teacher.,syntax,s-selection,animate_subject_trans,907,animate_subject_trans,TRUE
