sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
The woman proposes to break a vase.,The woman propose to break a vase.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,485,irregular_plural_subject_verb_agreement_1,TRUE
A phenomenon is distracting the actress.,A phenomenon were distracting the actress.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,457,irregular_plural_subject_verb_agreement_1,TRUE
This synopsis wins.,This synopsis win.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,573,irregular_plural_subject_verb_agreement_1,TRUE
The feet have fallen apart.,The feet has fallen apart.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,473,irregular_plural_subject_verb_agreement_1,TRUE
Some oxen have alarmed these boys.,Some oxen has alarmed these boys.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,86,irregular_plural_subject_verb_agreement_1,TRUE
These men have attacked Chad.,These men has attacked Chad.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,798,irregular_plural_subject_verb_agreement_1,TRUE
The paralysis shocks Rachel.,The paralysis shock Rachel.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,68,irregular_plural_subject_verb_agreement_1,TRUE
That foot hasn't slipped.,That foot haven't slipped.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,442,irregular_plural_subject_verb_agreement_1,TRUE
Some diagnosis scares the pedestrians.,Some diagnosis scare the pedestrians.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,589,irregular_plural_subject_verb_agreement_1,TRUE
Many people have hidden away.,Many people has hidden away.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,13,irregular_plural_subject_verb_agreement_1,TRUE
Every oasis is disappearing.,Every oasis were disappearing.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,645,irregular_plural_subject_verb_agreement_1,TRUE
Some phenomenon distracts Donald.,Some phenomenon distract Donald.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,993,irregular_plural_subject_verb_agreement_1,TRUE
Most crises distract Cheryl.,Most crises distracts Cheryl.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,72,irregular_plural_subject_verb_agreement_1,TRUE
