sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
It's themselves that some snakes will scare.,It's themselves that will scare some snakes.,syntax_semantics,binding,principle_A_reconstruction,790,principle_A_reconstruction,TRUE
It's herself that Martha disliked.,It's herself that disliked Martha.,syntax_semantics,binding,principle_A_reconstruction,532,principle_A_reconstruction,TRUE
It's himself that Eric would notice.,It's himself that would notice Eric.,syntax_semantics,binding,principle_A_reconstruction,359,principle_A_reconstruction,TRUE
It's himself that Joel should like.,It's himself that should like Joel.,syntax_semantics,binding,principle_A_reconstruction,349,principle_A_reconstruction,TRUE
It's herself who Dana attacked.,It's herself who attacked Dana.,syntax_semantics,binding,principle_A_reconstruction,942,principle_A_reconstruction,TRUE
It's herself who Elizabeth wasn't referencing.,It's herself who wasn't referencing Elizabeth.,syntax_semantics,binding,principle_A_reconstruction,118,principle_A_reconstruction,TRUE
It's herself that Suzanne returned to.,It's herself that returned to Suzanne.,syntax_semantics,binding,principle_A_reconstruction,693,principle_A_reconstruction,TRUE
It's herself who Vanessa knew.,It's herself who knew Vanessa.,syntax_semantics,binding,principle_A_reconstruction,139,principle_A_reconstruction,TRUE
It's himself who Richard observed.,It's himself who observed Richard.,syntax_semantics,binding,principle_A_reconstruction,195,principle_A_reconstruction,TRUE
It's themselves that the people disagree with.,It's themselves that disagree with the people.,syntax_semantics,binding,principle_A_reconstruction,59,principle_A_reconstruction,TRUE
It's themselves that these cashiers haven't distracted.,It's themselves that haven't distracted these cashiers.,syntax_semantics,binding,principle_A_reconstruction,200,principle_A_reconstruction,TRUE
It's herself who the waiter cared for.,It's herself who cared for the waiter.,syntax_semantics,binding,principle_A_reconstruction,692,principle_A_reconstruction,TRUE
It's herself that Rose is revealing.,It's herself that is revealing Rose.,syntax_semantics,binding,principle_A_reconstruction,885,principle_A_reconstruction,TRUE
