sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Melanie scans that analysis.,Melanie scans those analysis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,592,determiner_noun_agreement_irregular_2,TRUE
Many planes were irritating these children.,Many planes were irritating this children.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,888,determiner_noun_agreement_irregular_2,TRUE
A lot of senators visit those men.,A lot of senators visit that men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,610,determiner_noun_agreement_irregular_2,TRUE
Meredith had fled from those men.,Meredith had fled from that men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,891,determiner_noun_agreement_irregular_2,TRUE
Andrea passes this oasis.,Andrea passes these oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,161,determiner_noun_agreement_irregular_2,TRUE
Florence watched this child.,Florence watched these child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,566,determiner_noun_agreement_irregular_2,TRUE
Florence leaves this man.,Florence leaves these man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,241,determiner_noun_agreement_irregular_2,TRUE
Keith examined that thesis.,Keith examined those thesis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,226,determiner_noun_agreement_irregular_2,TRUE
Ellen had broken this tooth.,Ellen had broken these tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,586,determiner_noun_agreement_irregular_2,TRUE
That actress lifted these teeth.,That actress lifted this teeth.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,419,determiner_noun_agreement_irregular_2,TRUE
Sabrina admired that person.,Sabrina admired those person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,50,determiner_noun_agreement_irregular_2,TRUE
Rhonda praised that child.,Rhonda praised those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,257,determiner_noun_agreement_irregular_2,TRUE
Ann brought these geese.,Ann brought this geese.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,472,determiner_noun_agreement_irregular_2,TRUE
