sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Who should Thomas's classmates that couldn't astound Sarah talk about?,Who should Sarah talk about Thomas's classmates that couldn't astound?,syntax,island_effects,complex_NP_island,657,complex_NP_island,TRUE
Who was that cashier that was irritating Karla listening to?,Who was Karla listening to that cashier that was irritating?,syntax,island_effects,complex_NP_island,520,complex_NP_island,TRUE
Who hadn't these people that saw Julie's electricians astounded?,Who hadn't Julie's electricians astounded these people that saw?,syntax,island_effects,complex_NP_island,991,complex_NP_island,TRUE
Who would Renee's lawyers who did work with the nephew of Ellen shock?,Who would the nephew of Ellen shock Renee's lawyers who did work with?,syntax,island_effects,complex_NP_island,603,complex_NP_island,TRUE
Who would these actors that worked with Phillip argue about?,Who would Phillip argue about these actors that worked with?,syntax,island_effects,complex_NP_island,606,complex_NP_island,TRUE
Who is a woman who insults this student praising?,Who is this student praising a woman who insults?,syntax,island_effects,complex_NP_island,41,complex_NP_island,TRUE
What does that guy's spouse that shouldn't forget Theodore like?,What does Theodore like that guy's spouse that shouldn't forget?,syntax,island_effects,complex_NP_island,83,complex_NP_island,TRUE
Who can't Lucille's grandsons that hadn't cared for Stacy admire?,Who can't Stacy admire Lucille's grandsons that hadn't cared for?,syntax,island_effects,complex_NP_island,443,complex_NP_island,TRUE
Who should these dancers who worked with Jane's colleague irritate?,Who should Jane's colleague irritate these dancers who worked with?,syntax,island_effects,complex_NP_island,617,complex_NP_island,TRUE
Who hasn't Janet's partner who had disgusted Kayla talked about?,Who hasn't Kayla talked about Janet's partner who had disgusted?,syntax,island_effects,complex_NP_island,596,complex_NP_island,TRUE
Who hadn't Stacey's doctors that are boasting about Suzanne watched?,Who hadn't Suzanne watched Stacey's doctors that are boasting about?,syntax,island_effects,complex_NP_island,647,complex_NP_island,TRUE
Who was that girl who scares Phillip's sister listening to?,Who was Phillip's sister listening to that girl who scares?,syntax,island_effects,complex_NP_island,683,complex_NP_island,TRUE
Who might Gregory's partner that questioned Charles hug?,Who might Charles hug Gregory's partner that questioned?,syntax,island_effects,complex_NP_island,592,complex_NP_island,TRUE
