sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
The Borgias wore a lot of scarves.,The Borgias worn a lot of scarves.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,0,3.2549151943907133,2.7995859936629186,0.4553292007277947,1,-52.847778007388115,-57.70211073756218,-85.39692995129525,-85.69797067419137,10,10
Teresa hid every senator.,Teresa hidden every senator.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,1,2.01104644843612,1.7008633209944115,0.3101831274417086,1,-48.613293170928955,-49.96530091762543,-60.679571861545675,-60.170480843591896,6,6
The mushroom went bad.,The mushroom gone bad.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,2,0.9955261892269476,0.7940236180512216,0.201502571175726,1,-33.83501720428467,-35.514726877212524,-38.812648150419406,-39.48484496746863,5,5
Cheryl came here.,Cheryl come here.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,3,1.6498100513335612,1.656091344331512,-0.0062812929979507715,0,-35.663957357406616,-35.082499861717224,-45.562817665407984,-45.019047927706296,6,6
Christopher hid a spotlight.,Christopher hidden a spotlight.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,4,1.5711131873430346,1.039143759615925,0.5319694277271096,1,-37.69296884536743,-39.843724966049194,-45.548534782082605,-45.03944376412882,5,5
Edward hid the cats.,Edward hidden the cats.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,5,1.4731990239161008,1.0089094782385515,0.4642895456775493,1,-34.22455561161041,-36.03691232204437,-41.590550731190916,-41.08145971323713,5,5
Erin went to some schools.,Erin gone to some schools.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,6,1.4785190583368524,0.9364852599330048,0.5420337984038476,1,-38.49133908748627,-42.95777249336243,-48.840972495844234,-49.51316931289346,7,7
Joel came here.,Joel come here.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,7,2.485598827513428,2.2698044031740805,0.21579442433934748,1,-25.741554856300354,-26.27675724029541,-38.169548993867494,-37.62577925616581,5,5
Paula broke some plates.,Paula broken some plates.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,8,2.0793976885836862,1.4917559582314819,0.5876417303522044,1,-36.16521418094635,-39.61616110801697,-48.64160031244847,-48.56669685740586,6,6
Raymond woke up.,Raymond woken up.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,9,3.9660295533591836,3.736347500835605,0.22968205252357876,1,-24.295463502407074,-32.11651933193207,-44.12561126920299,-54.5346043369457,5,6
Randolf drove to a mall.,Randolf driven to a mall.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,10,2.079428797965821,1.4755912716353774,0.6038375263304436,1,-46.70767641067505,-51.31765866279602,-61.263677996435796,-61.64679756424366,7,7
Laura broke this cart.,Laura broken this cart.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,11,0.9953767977099574,0.4455179719739576,0.5498588257359998,1,-36.272183299064636,-38.946573972702026,-41.24906728761442,-41.174163832571814,5,5
Victoria wore that hat.,Victoria worn that hat.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,12,1.216747914938587,0.12848103243346287,1.088266882505124,1,-35.56280517578125,-41.305180311203,-41.646544750474185,-41.94758547337032,5,5
Carrie took most bikes.,Carrie taken most bikes.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,13,1.9858820877784698,1.2635186995893772,0.7223633881890925,1,-42.78005015850067,-47.83276569843292,-54.69534268517149,-55.413877895969186,6,6
Nancy sang.,Nancy sung.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,14,2.4005046981906197,2.0325877416826224,0.3679169565079974,1,-24.219829082489014,-26.521920919418335,-33.82184787525149,-34.652271886148824,4,4
The guy sang.,The guy sung.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,15,1.5059724913301995,1.0838857607667212,0.42208673056347834,1,-23.909188270568848,-26.427959203720093,-29.933078235889646,-30.763502246786977,4,4
The women broke a lot of convertibles.,The women broken a lot of convertibles.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,16,2.3225734319546203,1.506027631292606,0.8165458006620143,1,-51.12906312942505,-58.403071880340576,-72.03222401701663,-71.95732056197403,9,9
Lucille went to some cafe.,Lucille gone to some cafe.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,17,2.4867830317376325,2.1936213090958523,0.2931617226417802,1,-40.444913268089294,-43.16924214363098,-57.85239449025272,-58.52459130730195,7,7
