sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Only Bill would ever complain.,Even Bill would ever complain.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,0,1.9663860554134598,1.7886145835754341,0.17777147183802566,1,-39.22203850746155,-40.05059242248535,-51.02035483994231,-50.782279923937956,6,6
Only Lori had ever healed Carl.,Even Lori had ever healed Carl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,1,1.08539449208209,1.0931940979796966,-0.007799605897606643,0,-58.00243282318115,-57.709760665893555,-65.60019426775578,-65.36211935175143,7,7
Only these pedestrians ever obligate Carl to aggravate Brad.,Even these pedestrians ever obligate Carl to aggravate Brad.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,2,1.1021059431330638,1.282466098735424,-0.18036015560236018,0,-102.94851955771446,-100.54612277448177,-116.17379087531123,-115.93571595930686,12,12
Only Alexander ever looked like this drawing.,Even Alexander ever looked like this drawing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,3,1.392894118180271,1.0944661617035605,0.2984279564767105,1,-53.021244764328,-55.17059350013733,-64.16439770977017,-63.92632279376581,8,8
Only libraries ever sway Sally to salute.,Even libraries ever sway Sally to salute.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,4,0.2077549602656994,0.10203919155601682,0.10571576870968258,1,-74.44589233398438,-75.05354356765747,-76.10793201610997,-75.8698571001056,8,8
Only Meredith should ever wear the shawl.,Even Meredith should ever wear the shawl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,5,2.1253098307671565,1.993687192720492,0.13162263804666452,1,-62.54180955886841,-63.61996102333069,-83.79490786653997,-83.55683295053561,10,10
Only Grace ever reveals Janice.,Even Grace ever reveals Janice.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,6,2.0086918343067413,1.918240182580401,0.09045165172634029,1,-53.54401099681854,-53.93909764289856,-67.60485383696573,-67.36677892096137,7,7
Only Aaron ever messes up some couches.,Even Aaron ever messes up some couches.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,7,1.8753837043831054,1.8075635351131438,0.0678201692699616,1,-68.94109952449799,-69.38122630119324,-87.69493656832904,-87.45686165232468,10,10
Only Elizabeth ever doubted Patricia has arrived at the hospital.,Even Elizabeth ever doubted Patricia has arrived at the hospital.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,8,2.566553003654018,2.442139999461649,0.12441300419236878,1,-67.3442815542221,-68.4747496843338,-95.5763645944163,-95.33828967841194,11,11
Only Chad ever preferred Robert to waste away.,Even Chad ever preferred Robert to waste away.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,9,0.9291557116833834,0.9356927630830177,-0.0065370513996343416,0,-71.16602206230164,-70.86911368370056,-79.52842346745209,-79.29034855144772,9,9
Only the boys ever managed to watch most teenagers.,Even the boys ever managed to watch most teenagers.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,10,2.1169458034287003,1.9641114995132767,0.15283430391542363,1,-58.512554705142975,-59.80282282829285,-79.68201273942998,-79.44393782342561,10,10
Only the sweaters ever twirl.,Even the sweaters ever twirl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,11,3.1747751583677193,3.076276081628862,0.09849907673885738,1,-47.39686894416809,-47.946786642074585,-72.79507021110985,-72.55699529510548,8,8
Only Susan ever tries to exercise.,Even Susan ever tries to exercise.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,12,1.9121877140381867,1.7762472492181172,0.1359404648200695,1,-45.94540232419968,-46.658910661935806,-59.330716322466984,-59.092641406462626,7,7
Only Melanie ever investigates who reunite.,Even Melanie ever investigates who reunite.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,13,1.8070263032497351,1.7824733001621915,0.0245530030875436,1,-66.10725808143616,-66.06560719013214,-80.56346850743404,-80.32539359142967,8,8
Only waiters ever cope.,Even waiters ever cope.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,14,0.7865441122082899,0.5614521949916403,0.22509191721664956,1,-47.13697338104248,-48.24944996833801,-51.85623805429222,-51.618163138287855,6,6
Only Kendra could ever protest.,Even Kendra could ever protest.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,15,1.6851815742549465,1.4889830402261879,0.19619853402875864,1,-52.99510395526886,-54.13041877746582,-64.79137497505349,-64.55330005904914,7,7
Only the Clintons ever disagreed.,Even the Clintons ever disagreed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,16,1.416844002151412,1.4826905815244231,-0.0658465793730112,0,-48.288439989089966,-47.655285596847534,-56.78950400199844,-56.55142908599407,6,6
Only some dancers ever cure Debra.,Even some dancers ever cure Debra.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,17,1.3902048031231509,1.4088819313041085,-0.01867712818095768,0,-63.641128063201904,-63.25363612174988,-74.76276648818711,-74.52469157218275,8,8
Only these actresses ever assembled.,Even these actresses ever assembled.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,18,1.4498137021794655,1.3626503105696095,0.08716339160985598,1,-46.67374515533447,-46.95865058898926,-55.372627368411266,-55.134552452406915,6,6
Only that unicycle ever crashed.,Even that unicycle ever crashed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,19,0.9107944250225779,0.8245920224820742,0.08620240254050371,1,-54.53378415107727,-54.899126052856445,-60.909345126235316,-60.671270210230965,7,7
Only Connie does ever learn who isn't imagining those mushrooms were growing.,Even Connie does ever learn who isn't imagining those mushrooms were growing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,20,2.203755047407583,2.1588590459084918,0.04489600149909112,1,-93.57161878049374,-93.96208788547665,-124.4241894441999,-124.18611452819553,14,14
Only some cashiers had ever replied.,Even some cashiers had ever replied.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,21,1.3447240475709545,1.3178723019506826,0.026851745620271927,1,-55.62042689323425,-55.59716594219208,-66.37821927380189,-66.14014435779754,8,8
Only some children ever marry.,Even some children ever marry.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,22,1.903705140912077,1.8254074633754012,0.07829767753667594,1,-36.481056451797485,-36.712767601013184,-47.90328729726995,-47.66521238126559,6,6
Only Kayla has ever pressed Kenneth to hate Rachel.,Even Kayla has ever pressed Kenneth to hate Rachel.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,23,1.3867219022733546,1.3220584146548076,0.06466348761854701,1,-84.93527436256409,-85.40849781036377,-100.18921528757099,-99.95114037156665,11,11
Only Wayne could ever talk.,Even Wayne could ever talk.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,24,1.4232987837202522,1.2648398525723283,0.15845893114792386,1,-40.87499475479126,-41.58767342567444,-49.41478745711277,-49.17671254110841,6,6
Only Rebecca would ever observe John.,Even Rebecca would ever observe John.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,25,1.592844175731502,1.4822270635548551,0.11061711217664683,1,-50.8498797416687,-51.38612461090088,-61.999788971789215,-61.761714055784864,7,7
Only Emily ever found Liam.,Even Emily ever found Liam.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,26,1.400514450677214,1.1435050011755112,0.2570094495017028,1,-46.46228051185608,-47.76626229286194,-54.86536721591936,-54.627292299915005,6,6
Only that pedestrian will ever fail to attack Mitchell.,Even that pedestrian will ever fail to attack Mitchell.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,27,2.0784249734994775,2.0144779259679497,0.0639470475315278,1,-65.40560758113861,-65.80700314044952,-86.18985731613338,-85.95178240012902,10,10
Only the Clintons ever work with every teenager.,Even the Clintons ever work with every teenager.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,28,1.2285772662040668,1.2118545718998979,0.01672269430416895,1,-66.60603511333466,-66.51846444606781,-77.66323050917126,-77.42515559316689,9,9
Only Patricia had ever painted.,Even Patricia had ever painted.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,29,1.683551044819198,1.4115378743982052,0.2720131704209927,1,-41.91832113265991,-43.31232523918152,-52.0196274015751,-51.78155248557075,6,6
