sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
The teenagers explain that they aren't breaking all glasses.,The teenagers explain that themselves aren't breaking all glasses.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,0,2.0824838529703413,1.680294473176859,0.40218937979348235,1,-63.803841292858124,-71.65740969032049,-86.71116367553188,-90.14064889526594,11,11
Carl can't imagine that he complained about Lisa.,Carl can't imagine that himself complained about Lisa.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,1,2.1297614912867404,1.9000665492158533,0.22969494207088714,1,-55.36405289173126,-60.669323325157166,-76.66166780459866,-79.6699888173157,10,10
Angela wasn't thinking that she likes Susan.,Angela wasn't thinking that herself likes Susan.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,2,2.9433967516262927,2.514929520901262,0.42846723072503057,1,-52.78832482919097,-60.11568486317992,-82.2222923454539,-85.26498007219254,10,10
Tara thinks that she sounded like Wayne.,Tara thinks that herself sounded like Wayne.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,3,2.4647246299432073,2.065893747314738,0.3988308826284692,1,-50.22107005119324,-56.853235721588135,-72.4035917206821,-75.44627944742078,9,9
Those waiters explain that they did climb down mountains.,Those waiters explain that themselves did climb down mountains.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,4,1.3090175477259798,0.6320045747874278,0.677012972938552,1,-73.34478330612183,-84.22141122817993,-87.7439763311076,-91.17346155084164,11,11
Tina wasn't saying that she descends most ladders.,Tina wasn't saying that herself descends most ladders.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,5,2.874452845004629,2.4940313312823346,0.3804215137222946,1,-70.66152253793553,-78.649689943064,-108.0294095229957,-111.07209724973436,13,13
Cindy explained that she has concealed all cashiers.,Cindy explained that herself has concealed all cashiers.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,6,2.0916798661462153,1.861670415690926,0.2300094504552892,1,-72.99119913578033,-78.79400026798248,-98.09135752953492,-101.1340452562736,12,12
Bethany has imagined that she has fired Margaret.,Bethany has imagined that herself has fired Margaret.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,7,1.7827365999170788,1.505850273365876,0.2768863265512027,1,-70.44862508773804,-76.53706240653992,-90.0587276868259,-93.10141541356455,11,11
Pamela thinks that she isn't returning to Stephanie.,Pamela thinks that herself isn't returning to Stephanie.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,8,2.483330871290567,2.1715165946004973,0.31181427669006956,1,-64.62029356695712,-71.4047526139766,-94.42026402244392,-97.46295174918257,12,12
A lot of doctors say that they had skated around that college campus.,A lot of doctors say that themselves had skated around that college campus.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,9,2.4200628444226555,2.141935827005248,0.27812701741740753,1,-77.5990264415741,-85.20041692256927,-113.89996910791393,-117.329454327648,15,15
Many women explain that they fix the cart.,Many women explain that themselves fix the cart.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,10,1.8257511451092638,1.2012058643102281,0.6245452807990357,1,-53.28117322921753,-62.33156597614288,-69.7129335352009,-73.14241875493494,9,9
Donna has imagined that she is breaking the bicycle.,Donna has imagined that herself is breaking the bicycle.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,11,2.150008078950115,1.7188485566987,0.4311595222514151,1,-59.594903111457825,-67.38034558296204,-83.24499197990909,-86.28767970664774,11,11
Alan was explaining that he criticizes Holly.,Alan was explaining that himself criticizes Holly.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,12,2.249733907251896,1.958918735504767,0.2908151717471288,1,-58.46681845188141,-64.09247601032257,-78.71442361714847,-81.72274462986547,9,9
Michelle thinks that she was discussing Natalie.,Michelle thinks that herself was discussing Natalie.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,13,2.495611290697557,2.0192425446258255,0.4763687460717314,1,-48.208330512046814,-55.061968207359314,-68.17322083762727,-71.21590856436592,8,8
Janet explains that she will hurt Leslie.,Janet explains that herself will hurt Leslie.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,14,2.1031666984733683,1.7337585626091854,0.369408135864183,1,-56.39198184013367,-62.75934278964996,-75.32048212639398,-78.36316985313263,9,9
Some patients say that they distracted Caroline.,Some patients say that themselves distracted Caroline.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,15,1.4988321847489203,1.3017767130625408,0.1970554716863795,1,-54.68432557582855,-59.69025456905365,-66.67498305381991,-70.10446827355398,8,8
Many ladies think that they aren't astounding Todd.,Many ladies think that themselves aren't astounding Todd.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,16,2.0454852580591476,1.8626902906926062,0.18279496736654144,1,-62.20438323915005,-67.46181813254952,-82.65923581974153,-86.08872103947559,10,10
The Impressionists say that they were criticizing Heidi.,The Impressionists say that themselves were criticizing Heidi.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,17,3.5087212007397155,3.0295928307813464,0.47912836995836905,1,-60.480002999305725,-69.17990028858185,-99.0759362074426,-102.50542142717666,11,11
Larry thinks that he is researching some universities.,Larry thinks that himself is researching some universities.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,18,2.086137808452902,1.9634718430792002,0.12266596537370167,1,-56.681822538375854,-60.79413723945618,-75.45706281445197,-78.46538382716898,9,9
Cynthia had thought that she can't bother Kendra.,Cynthia had thought that herself can't bother Kendra.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,19,2.438805677786877,2.1051958364219976,0.3336098413648796,1,-76.1673972606659,-83.54701292514801,-107.8718710718953,-110.91455879863398,13,13
Homer imagined that he is disgusting Rachel.,Homer imagined that himself is disgusting Rachel.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,20,1.8551431094397357,1.7744991073974683,0.0806440020422674,1,-57.57797944545746,-61.31209647655487,-74.27426743041508,-77.28258844313208,9,9
Clyde explains that he cleans a lot of cups.,Clyde explains that himself cleans a lot of cups.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,21,2.0317455304476604,1.5353790615198595,0.4963664689278009,1,-68.45314055681229,-77.4178591966629,-92.83408692218421,-95.84240793490122,12,12
Peter said that he was bothering every actor.,Peter said that himself was bothering every actor.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,22,1.7127798176639368,1.4832486515587453,0.22953116610519153,1,-51.387558937072754,-56.46166044473648,-66.80257729604818,-69.81089830876519,9,9
Sally couldn't imagine that she wasn't criticizing Robert.,Sally couldn't imagine that herself wasn't criticizing Robert.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,23,2.927637690773866,2.5407791582248884,0.3868585325489775,1,-60.52132910769433,-68.2063192250207,-95.65298139698072,-98.69566912371937,12,12
