sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Those radii have scared that teenager.,Those radii has scared that teenager.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,0,0.8748022193316558,0.8694250549562845,0.0053771643753712794,1,-63.963319540023804,-65.20034265518188,-70.96173729467705,-72.15574309483216,8,8
This goose isn't bothering Edward.,This goose weren't bothering Edward.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,1,2.165914995708988,1.8231947017385954,0.3427202939703926,1,-44.34585068374872,-48.60993256047368,-59.50725565371164,-61.37229547264385,7,7
The axes haven't stunned that teenager.,The axes hasn't stunned that teenager.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,2,0.9327007267936587,1.1467503156023575,-0.21404958880869884,0,-59.964731618762016,-59.40882104635239,-67.42633743311129,-68.58282357117125,8,8
The radius is boring Carla.,The radius were boring Carla.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,3,2.387118240202839,1.5627172578200959,0.8244009823827432,1,-43.56475019454956,-50.62650513648987,-60.274577875969435,-61.56552594123054,7,7
All hypotheses have hurt Beth.,All hypotheses has hurt Beth.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,4,0.8718209303861132,0.8109940050930575,0.06082692529305567,1,-47.96587157249451,-49.52483892440796,-53.196797154811186,-54.390802954966304,6,6
That woman isn't irritating Dennis.,That woman weren't irritating Dennis.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,5,2.0343542024752983,1.748297226642942,0.28605697583235634,1,-43.99401465058327,-47.861453300341964,-58.234494067910354,-60.09953388684256,7,7
An alumnus doubts every sweater flattens.,An alumnus doubt every sweater flattens.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,6,2.2321811868983987,2.2143675556767617,0.01781363122163704,1,-79.08166241645813,-76.7107150554657,-101.40347428544212,-98.85439061223332,10,10
The people weren't boycotting those mountains.,The people isn't boycotting those mountains.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,7,3.169116792377003,2.7715403213093577,0.39757647106764527,1,-47.52173973247409,-49.23488815315068,-76.04379086386712,-74.1787510449349,9,9
These hypotheses embarrass Dennis.,These hypotheses embarrasses Dennis.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,8,0.8009225662464743,1.1508238080094901,-0.34990124176301585,0,-49.4788122177124,-54.7212393283844,-53.483425048944774,-61.62618217644134,5,6
Men have compromised.,Men has compromised.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,9,1.5857298800076158,2.0122660409304913,-0.4265361609228755,0,-28.18070888519287,-27.668570041656494,-34.523628405223334,-35.71763420537846,4,4
All radii weren't upsetting every bank.,All radii wasn't upsetting every bank.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,10,1.8064143785495428,1.8127593020000523,-0.006344923450509521,0,-65.93720328807831,-64.72143998742104,-82.19493269502419,-81.03627370542151,9,9
Some parentheses scare these adults.,Some parentheses scares these adults.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,11,1.6525245727201288,1.7095975143441489,-0.0570729416240201,0,-48.20452642440796,-49.76211714744568,-58.11967386072873,-60.01970223351057,6,6
Some analyses weren't astounding this actress.,Some analyses wasn't astounding this actress.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,12,1.0855780785030689,1.1474599703168948,-0.06188189181382597,0,-65.06396135687828,-63.41024723276496,-73.74858598490283,-72.58992699530012,8,8
Many people have hidden away.,Many people has hidden away.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,13,2.9796641340869647,2.544986147926599,0.43467798616036557,1,-28.037550687789917,-31.839624404907227,-45.915535492311705,-47.10954129246682,6,6
Mice are hurting a waiter.,Mice was hurting a waiter.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,14,1.0223377889610512,1.3762817582139542,-0.35394396925290295,0,-44.61762893199921,-41.34763777256012,-51.773993454726565,-50.9816100800578,7,7
Hypotheses haven't astounded this hospital.,Hypotheses hasn't astounded this hospital.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,15,1.861546964290045,1.9945399835981221,-0.13299301930807705,0,-72.44229557365179,-72.26885151863098,-91.05776521655224,-92.2142513546122,10,10
A lot of men have laughed.,A lot of men has laughed.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,16,2.398464405996909,1.9798057170298122,0.4186586889670969,1,-29.768446505069733,-33.89306312799454,-46.5576973470481,-47.75170314720322,7,7
A diagnosis isn't worrying Frank.,A diagnosis aren't worrying Frank.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,17,1.6049966734160737,1.3270513892581672,0.2779452841579064,1,-47.048499803990126,-49.99675638228655,-58.28347651790264,-59.28611610709372,7,7
Many hypotheses astound Elizabeth.,Many hypotheses astounds Elizabeth.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,18,0.9528465520378369,0.4284797571159788,0.524366794921858,1,-57.61293148994446,-60.543968200683594,-63.33001080217148,-63.114846743379466,6,6
An ox isn't climbing up those steps.,An ox aren't climbing up those steps.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,19,2.170403019214499,2.2829562693949175,-0.11255325018041828,0,-53.99711333215237,-53.986773669719696,-73.53074050508286,-74.53338009427395,9,9
Most women are hiding the shirts.,Most women is hiding the shirts.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,20,1.9512353927426258,1.3356411269988027,0.6155942657438231,1,-41.96588468551636,-45.42272710800171,-55.62453243471474,-54.77221499699333,7,7
This woman hasn't dropped by the glacier.,This woman haven't dropped by the glacier.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,21,2.345615715964063,1.7975707000379815,0.5480450159260817,1,-47.816622853279114,-51.592541858553886,-68.92716429695568,-67.77067815889572,9,9
This diagnosis alarms a lot of governments.,This diagnosis alarm a lot of governments.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,22,1.9623954643296635,1.4702109646654726,0.49218449966419087,1,-52.09755337238312,-53.25176167488098,-67.79671708702043,-65.01344939220476,8,8
The alumni aren't finding many bikes.,The alumni isn't finding many bikes.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,23,2.130475450081857,1.9503324316758999,0.18014301840595692,1,-52.81047786027193,-53.248982418328524,-69.85428146092679,-68.85164187173572,8,8
These media haven't embarrassed William.,These media hasn't embarrassed William.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,24,1.2051455178609771,1.430475291003805,-0.22532977314282787,0,-52.56801947951317,-52.14719720557332,-61.00403810454001,-62.160524242599955,7,7
Some crises aren't astounding Michelle.,Some crises isn't astounding Michelle.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,25,1.9824778224341426,1.7954870204823448,0.18699080195179785,1,-54.20236422121525,-54.50866024568677,-68.07970897825425,-67.07706938906318,7,7
Those mice haven't vanished.,Those mice hasn't vanished.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,26,2.237731883246312,2.356323727243627,-0.11859184399731504,0,-37.76894409582019,-38.213879169896245,-51.19533539529806,-52.351821533358006,6,6
Those crises annoy Holly.,Those crises annoys Holly.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,27,0.5998301112822503,1.207372041827566,-0.6075419305453157,0,-50.41293478012085,-52.6467547416687,-53.4120853365321,-59.8909869926341,5,6
The octopi have distracted Barbara.,The octopi has distracted Barbara.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,28,2.1334188449009304,2.3272744823205684,-0.19385563741963807,0,-51.8485826253891,-51.491743326187134,-68.91593338459654,-70.10993918475168,8,8
All children haven't insulted Suzanne.,All children hasn't insulted Suzanne.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,29,2.410324144933001,2.122492403057059,0.28783174187594174,1,-43.52477790042758,-46.69608623161912,-60.39704691495859,-61.55353305301853,7,7
Some radii are aggravating waiters.,Some radii was aggravating waiters.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,30,2.2364408141817886,1.946322536899427,0.2901182772823616,1,-63.79184877872467,-65.61052989959717,-83.91981610636077,-83.12743273169201,9,9
A lot of children cough.,A lot of children coughs.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,31,2.0419035165352057,2.490141201152165,-0.44823768461695934,0,-29.858036875724792,-31.15737122297287,-42.10945797493603,-48.588359631038024,6,7
A lot of synopses haven't looked to tighten.,A lot of synopses hasn't looked to tighten.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,32,1.267221378233901,1.2274964691008705,0.039724909133030506,1,-78.56383517384529,-80.19702022150159,-93.7704917126521,-94.92697785071203,12,12
The ox hasn't distracted Dan.,The ox haven't distracted Dan.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,33,1.6324215222372973,1.0291195150539707,0.6033020071833266,1,-48.35030756890774,-51.41693548113108,-59.77725822456882,-58.62077208650887,7,7
A parenthesis annoys Clyde.,A parenthesis annoy Clyde.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,34,1.5663787064827943,0.8222442045614725,0.7441345019213218,1,-55.62024277448654,-55.172526836395264,-66.5848937198661,-60.1059920637641,7,6
Some analysis is failing to hide some pants.,Some analysis were failing to hide some pants.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,35,2.1459760156144987,1.8300614346313624,0.3159145809831363,1,-55.119815707206726,-59.25399500131607,-74.43359984773721,-75.72454791299833,9,9
This hypothesis confuses Florence.,This hypothesis confuse Florence.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,36,1.1469126827013352,0.8494519589027064,0.29746072379862876,1,-51.490424394607544,-44.731027007102966,-58.371900490815555,-48.9782868016165,6,5
Every ox aggravates Carlos.,Every ox aggravate Carlos.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,37,1.8277737960505422,1.8881644268665927,-0.06039063081605045,0,-50.668856382369995,-49.666770219802856,-61.63549915867325,-60.99575678100241,6,6
This goose disappears.,This goose disappear.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,38,1.813458227529674,1.163298499410356,0.6501597281193181,1,-28.874526500701904,-29.892642498016357,-36.1283594108206,-34.54583649565778,4,4
A lot of bases haven't upset Anne.,A lot of bases hasn't upset Anne.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,39,1.8703427640830814,1.901671316724803,-0.03132855264172152,0,-53.27936641871929,-54.15389558300376,-70.11245129546703,-71.26893743352699,9,9
The hypothesis has shocked Margaret.,The hypothesis have shocked Margaret.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,40,1.3537256128032868,0.6849348629508754,0.6687907498524115,1,-45.34410858154297,-48.16284728050232,-53.46646225836269,-52.27245645820757,6,6
A lot of lice haven't found restaurants.,A lot of lice hasn't found restaurants.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,41,1.6875998194875081,1.913425748320023,-0.22582592883251484,0,-58.34480792284012,-57.2430347725749,-75.2208061177152,-76.37729225577513,10,10
Feet haven't worried Angela.,Feet hasn't worried Angela.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,42,1.2848272308902469,1.657308369377088,-0.37248113848684117,0,-52.052964232861996,-50.60208240151405,-61.04675484909372,-62.20324098715367,7,7
Every cactus has fallen.,Every cactus have fallen.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,43,2.744423026106459,2.4353343070717144,0.30908871903474466,1,-37.05850911140442,-37.719035625457764,-53.525047268043174,-52.33104146788805,6,6
A paralysis has annoyed Raymond.,A paralysis have annoyed Raymond.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,44,0.6405490524950809,0.43376018265263855,0.20678886984244232,1,-50.63339400291443,-50.680121421813965,-54.476688317884914,-53.282682517729796,6,6
Many teeth were confusing Sabrina.,Many teeth was confusing Sabrina.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,45,2.2973064126144487,1.8354209108373791,0.46188550177706955,1,-52.54089164733887,-54.543076157569885,-68.62203653564,-67.39102253343154,7,7
Every crisis wasn't distracting Omar.,Every crisis aren't distracting Omar.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,46,2.1726430580332,1.7751788317923416,0.3974642262408583,1,-51.32477808371186,-54.403286427259445,-66.53327948994426,-66.82953824980584,7,7
Many phenomena weren't scaring Ann.,Many phenomena wasn't scaring Ann.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,47,2.135158721475573,1.954702590140922,0.1804561313346511,1,-57.17366271466017,-57.45865277573466,-74.25493248646475,-73.09627349686204,8,8
This person prevents Kimberley from stunning Emily.,This person prevent Kimberley from stunning Emily.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,48,1.7972118494327813,1.2601039421953968,0.5371079072373846,1,-73.36059319972992,-75.6374614238739,-89.53549984462495,-86.97839690363247,9,9
Some geese aren't disappearing.,Some geese wasn't disappearing.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,49,3.761506036818644,3.3658384549744023,0.39566758184424167,1,-35.491936564445496,-37.96535087749362,-61.822478822176,-61.52622006231444,7,7
All oases have distracted a lot of cashiers.,All oases has distracted a lot of cashiers.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,50,1.9595533445326483,1.9493464946024466,0.010206849930201711,1,-68.20858603715897,-69.51486718654633,-89.7636728270181,-90.95767862717324,11,11
These oxen descend this hill.,These oxen descends this hill.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,51,2.3456001675950424,3.161200624886213,-0.8156004572911706,0,-45.6466828584671,-48.44067573547363,-62.0658840316324,-73.73028073456334,7,8
Every tooth shatters.,Every tooth shatter.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,52,2.39226348711951,0.9936265046258992,1.3986369824936107,1,-35.10308384895325,-35.221521496772766,-47.0644012845508,-39.19602751527636,5,4
The fungi exist.,The fungi exists.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,53,1.69759696357346,1.5479958467787949,0.14960111679466515,1,-27.455062747001648,-28.814378261566162,-34.24545060129549,-35.00636164868134,4,4
The stimuli distract Jill.,The stimuli distracts Jill.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,54,0.5437859738416548,0.9276046577268827,-0.3838186838852279,0,-47.05965971946716,-50.69186329841614,-49.77858958867544,-56.257491244777434,5,6
This man disappears.,This man disappear.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,55,2.480621546500114,1.6194623295502293,0.8611592169498845,1,-21.993157386779785,-23.855271339416504,-31.91564357278024,-30.33312065761742,4,4
All oxen aren't falling asleep.,All oxen wasn't falling asleep.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,56,2.909611027237549,2.7940918578466807,0.11551916939086837,1,-43.184401124715805,-43.81229571998119,-66.4612893426162,-66.16503058275464,8,8
Most stimuli are appearing.,Most stimuli was appearing.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,57,1.824670877257465,0.6593326586683161,1.1653382185891488,1,-37.8675320148468,-42.90183973312378,-46.99088640113413,-46.19850302646536,5,5
This louse hasn't shocked Catherine.,This louse haven't shocked Catherine.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,58,1.8722146226441225,1.3168019232558734,0.5554126993882491,1,-55.35221052914858,-58.63902598619461,-70.32992751030156,-69.1734413722416,8,8
Syntheses have alarmed Kimberley.,Syntheses has alarmed Kimberley.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,59,2.3431393231795603,2.405921232395425,-0.06278190921586457,0,-66.41630399227142,-67.10805451869965,-85.1614185777079,-86.35542437786305,8,8
Those oxen aren't boring Cheryl.,Those oxen wasn't boring Cheryl.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,60,2.0975048835977717,1.8729107770272186,0.224594106570553,1,-56.929438441991806,-58.42993253469467,-73.70947751077398,-73.41321875091242,8,8
These crises haven't alarmed Sandra.,These crises hasn't alarmed Sandra.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,61,1.6500729258165896,1.734492911691969,-0.08441998587537936,0,-55.51184707134962,-56.0773933082819,-67.06235755206575,-68.21884369012568,7,7
The cacti aggravate Stephanie.,The cacti aggravates Stephanie.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,62,1.9876560384559667,2.0450829534350135,-0.05742691497904673,0,-58.585184931755066,-58.765511989593506,-74.4864332394028,-75.12617561707361,8,8
Some octopus hasn't climbed up most stairs.,Some octopus haven't climbed up most stairs.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,63,2.8091790027438774,2.63323864230662,0.17594036043725758,1,-59.59304250776768,-60.195959974080324,-87.68483253520645,-86.52834639714652,10,10
Those fungi are scaring Naomi.,Those fungi is scaring Naomi.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,64,2.3921963966906543,1.770493301993495,0.6217030946971593,1,-50.40911364555359,-53.90871787071228,-67.15448842238817,-66.30217098466674,7,7
