sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Some dog stunned this committee.,Some dog stunned these committee.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,0,0.8260188762714537,0.44955936498525045,0.3764595112862032,1,-46.615193605422974,-50.58128750324249,-51.571306863051696,-53.278643693153995,6,6
Tracy passed these art galleries.,Tracy passed this art galleries.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,1,2.619461161696624,2.4741370951310637,0.14532406656556018,1,-48.17072653770447,-47.480658173561096,-66.50695466958084,-64.79961783947854,7,7
Sarah has sounded like these children.,Sarah has sounded like this children.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,2,2.2740212174311787,1.699448971157409,0.5745722462737697,1,-39.1978343129158,-41.51250320672989,-55.11598283493405,-53.40864600483175,7,7
Craig had cared for that dancer.,Craig had cared for those dancer.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,3,1.3162865068482705,1.4609698593519087,-0.14468335250363817,0,-47.978575706481934,-49.81958615779877,-57.19258125441983,-60.04637517326213,7,7
Most children return to those senators.,Most children return to that senators.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,4,2.2024046064522653,1.5925794296350548,0.6098251768172105,1,-42.44802725315094,-43.863009572029114,-57.8648594983168,-55.0110655794745,7,7
The Impressionists impress those hospitals.,The Impressionists impress that hospitals.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,5,3.4049705117508786,2.961661793278875,0.4433087184720037,1,-52.06449866294861,-52.757174491882324,-79.30426275695564,-76.45046883811332,8,8
Carl cures those horses.,Carl cures that horses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,6,1.2022886187582018,0.5096837551633868,0.692604863594815,1,-39.841959834098816,-40.45119023323059,-45.853402927889825,-42.999609009047525,5,5
The Borgias should pass these college campuses.,The Borgias should pass this college campuses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,7,2.1739753442568723,2.1502478161127416,0.023727528144130705,1,-64.67632603645325,-63.18253695964813,-84.2421041347651,-82.53476730466281,9,9
Natalie had passed those public parks.,Natalie had passed that public parks.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,8,2.5619246256784045,2.411191698684558,0.15073292699384666,1,-50.27358949184418,-48.62565898895264,-70.76898649727141,-67.9151925784291,8,8
All grocery stores didn't shock these adults.,All grocery stores didn't shock this adults.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,9,2.0828636795093143,1.6103179048416412,0.4725457746676731,1,-60.13971503637731,-62.68529017828405,-78.88548815196114,-77.17815132185882,9,9
This person bothered these libraries.,This person bothered this libraries.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,10,1.1209669277936136,0.8644359993469486,0.25653092844666503,1,-45.974509954452515,-45.80635869503021,-52.700311521214196,-50.992974691111904,6,6
This actress isn't taking that dress.,This actress isn't taking those dress.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,11,1.924572312179647,1.624427244874557,0.30014506730509005,1,-43.54978073388338,-48.8047351911664,-58.94635923132056,-61.800153150162856,8,8
The turtle alarmed these legislatures.,The turtle alarmed this legislatures.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,12,-0.08838315019833469,-0.173928042185396,0.08554489198706132,1,-56.52059316635132,-55.32652568817139,-55.99029426516131,-54.28295743505901,6,6
The Borgias attack those customers.,The Borgias attack that customers.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,13,1.2295135624828828,0.8799918489203284,0.34952171356255435,1,-55.611663579940796,-55.20452165603638,-64.21825851732098,-61.364464598478676,7,7
Jerry messes up these chairs.,Jerry messes up this chairs.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,14,2.0831209572742986,1.5296862721174287,0.5534346851568699,1,-44.18144226074219,-46.348148226737976,-58.763288961662276,-57.05595213155998,7,7
Sally thinks about that story.,Sally thinks about those story.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,15,2.4161351667813795,2.1751201837736738,0.24101498300770574,1,-34.511274576187134,-39.052173376083374,-51.42422074365679,-54.27801466249909,7,7
Frank doesn't upset that actress.,Frank doesn't upset those actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,16,1.5675259320766994,1.5176743527162802,0.049851579360419285,1,-42.98065173625946,-46.183406710624695,-53.953333260796356,-56.807127179638655,7,7
