sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Even Suzanne has really joked around.,Even Suzanne has ever joked around.,semantics,npi_licensing,npi_present_1,True,True,False,False,0,1.3973004392044166,1.5362213157613058,-0.13892087655688923,0,-53.587055683135986,-53.3264434337616,-63.3681587575669,-64.07999264409074,7,7
Even many teenagers clearly boycott those legislatures.,Even many teenagers ever boycott those legislatures.,semantics,npi_licensing,npi_present_1,True,True,False,False,1,1.6859196815689153,1.5903552113804977,0.09556447018841752,1,-69.19314193725586,-67.48611545562744,-82.68049938980718,-80.20895714667142,8,8
Even every cashier had clearly found out who hasn't sung.,Even every cashier had ever found out who hasn't sung.,semantics,npi_licensing,npi_present_1,True,True,False,False,2,2.0834102507206356,2.390398903785725,-0.3069886530650896,0,-81.01731180772185,-74.55491707473993,-108.10164506709012,-105.63010282395436,13,13
Even Mark might often irritate the pedestrians.,Even Mark might ever irritate the pedestrians.,semantics,npi_licensing,npi_present_1,True,True,False,False,3,2.1919315799708463,2.0787372613241044,0.1131943186467419,1,-61.17820763587952,-61.4836528301239,-80.90559185561713,-80.19228818204084,9,9
Even Tara had really baked.,Even Tara had ever baked.,semantics,npi_licensing,npi_present_1,True,True,False,False,4,1.188245103916871,1.4102541157252055,-0.22200901180833443,0,-45.49983549118042,-44.87961530685425,-52.62930611468165,-53.34114000120548,6,6
Even these trucks have often slowed.,Even these trucks have ever slowed.,semantics,npi_licensing,npi_present_1,True,True,False,False,5,1.5677309068903529,1.6242761490876692,-0.05654524219731627,0,-49.21257281303406,-48.10345244407654,-60.18668916126653,-59.47338548769022,7,7
Even Deanna did also require Rodney to disappear.,Even Deanna did ever require Rodney to disappear.,semantics,npi_licensing,npi_present_1,True,True,False,False,6,1.5197906383091606,1.400219058282397,0.1195715800267636,1,-73.75127339363098,-75.5108699798584,-88.94917977672259,-89.51306056268237,10,10
Even Galileo really climbs down these hills.,Even Galileo ever climbs down these hills.,semantics,npi_licensing,npi_present_1,True,True,False,False,7,1.6675953022509837,1.536088493182735,0.13150680906824874,1,-59.7714341878891,-61.53532254695892,-73.11219660589697,-73.8240304924208,8,8
Even a lot of lamps often brighten.,Even a lot of lamps ever brighten.,semantics,npi_licensing,npi_present_1,True,True,False,False,8,1.5844359698739905,1.4725652717055608,0.11187069816842965,1,-56.25003242492676,-56.54356503486633,-70.50995615379267,-69.79665248021638,9,9
Even Brad often convinces John's doctors to debate.,Even Brad ever convinces John's doctors to debate.,semantics,npi_licensing,npi_present_1,True,True,False,False,9,1.614107558578173,1.4351909725628245,0.17891658601534854,1,-83.98434993624687,-85.23912870883942,-101.73953308060678,-101.02622940703048,11,11
Even this carriage also maneuvers.,Even this carriage ever maneuvers.,semantics,npi_licensing,npi_present_1,True,True,False,False,10,0.8032123939335207,0.4839646091629615,0.3192477847705592,1,-47.69271624088287,-50.172083735466,-52.511990604484,-53.07587139044377,6,6
Even a muffin can certainly blacken.,Even a muffin can ever blacken.,semantics,npi_licensing,npi_present_1,True,True,False,False,11,0.88141365348634,1.052188922624244,-0.17077526913790397,0,-61.978351354599,-58.97006916999817,-69.91107423597606,-68.43976947361637,9,9
Even Wayne had also answered.,Even Wayne had ever answered.,semantics,npi_licensing,npi_present_1,True,True,False,False,12,0.7104264045033718,0.9842064101202842,-0.2737800056169124,0,-44.48799681663513,-43.40919756889343,-48.75055524365536,-49.31443602961514,6,6
Even that shawl often frays.,Even that shawl ever frays.,semantics,npi_licensing,npi_present_1,True,True,False,False,13,1.4899639108933767,1.8228658535890014,-0.3329019426956248,0,-62.673943281173706,-58.96452212333679,-76.0836184792141,-75.3703148056378,9,9
