sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Laurie hasn't lifted those cacti.,Laurie hasn't lifted those cactus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,0,2.114374361368391,2.8414199575360017,-0.7270455961676108,0,-69.8685212470591,-58.384961280971766,-93.12663922211141,-86.79916085633178,11,10
Adam hadn't discussed these analyses.,Adam hadn't discussed these analysis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,1,1.8495601572638418,1.888983436409259,-0.03942327914541721,0,-51.919560100883245,-48.602055337280035,-64.86648120173014,-61.82493939214485,7,7
Some customers know these men.,Some customers know these man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,2,1.7764746670515013,1.001409655610774,0.7750650114407271,1,-36.126737117767334,-39.9059054851532,-46.78558512007634,-45.91436341881784,6,6
Phillip was lifting this mouse.,Phillip was lifting this mice.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,3,2.0366151282678238,1.6456696522206704,0.39094547604715335,1,-45.93272817134857,-49.843560338020325,-60.18903406922334,-61.36324790356502,7,7
The driver reveals these mice.,The driver reveals these mouse.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,4,1.787653133712374,1.3223159453797113,0.4653371883326627,1,-41.763630628585815,-43.38143992424011,-52.48954943086006,-51.31533559651838,6,6
Anna will buy that louse.,Anna will buy that lice.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,5,1.5566494432024558,1.4590288832683374,0.09762055993411844,1,-44.985926389694214,-43.901944160461426,-55.882472492111404,-54.11514634333979,7,7
Rhonda had insulted these men.,Rhonda had insulted these man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,6,1.9899300899901198,1.38090571290037,0.6090243770897499,1,-49.7325119972229,-53.12446093559265,-63.66202262715374,-62.79080092589524,7,7
All plays shock this alumnus.,All plays shock this alumni.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,7,0.9075676670494666,-0.15215660724811406,1.0597242742975805,1,-63.145116567611694,-54.087445855140686,-70.40565790400743,-53.174506211652,8,6
Grace noticed that axis.,Grace noticed that axes.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,8,2.329581650561819,1.935329450036157,0.3942522005256621,1,-39.30194568634033,-41.63809299468994,-53.27943558971125,-53.250069694906884,6,6
Patricia cleans these teeth.,Patricia cleans these tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,9,2.7719186632807116,2.4954883010053686,0.276430362275343,1,-42.8302880525589,-45.5446240901947,-59.46180003224317,-60.517553896226914,6,6
Alan examined those analyses.,Alan examined those analysis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,10,1.3292870355982287,1.2124905669535722,0.11679646864465654,1,-43.93601989746094,-41.47846043109894,-50.58245507545208,-47.5409132658668,5,5
Travis fired these children.,Travis fired these child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,11,1.7538616353520997,1.2603609155306377,0.49350071982146204,1,-41.55756378173828,-44.395171999931335,-52.08073359385088,-51.95733749311516,6,6
The picture can't look like these nuclei.,The picture can't look like these nucleus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,12,2.1967377891993065,1.6881431434741911,0.5085946457251154,1,-50.42798984050751,-49.31317114830017,-72.39536773250057,-64.50645943956789,10,9
The waitresses haven't cleaned this thesis.,The waitresses haven't cleaned this theses.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,13,1.2583966308685508,0.9146723798893589,0.3437242509791919,1,-64.64031246118248,-70.36248615197837,-75.96588213899943,-79.50920995087196,9,10
Pamela might boast about those bases.,Pamela might boast about those basis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,14,1.6215077018279185,1.4272683913964985,0.19423931043141995,1,-64.26287031173706,-64.93655300140381,-78.85643962818833,-77.7819685239723,9,9
