sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,Group,config,trial_type
Victoria is wearing all scarves.,Victoria were wearing all scarves.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,660,p0,regular_plural_subject_verb_agreement_1,target
There are apt to be a lot of fathers of Michael discovering what shrink.,There are unable to be a lot of fathers of Michael discovering what shrink.,syntax_semantics,control_raising,existential_there_subject_raising,678,p0,existential_there_subject_raising,target
Elaine can figure out that the child can embarrass Steven.,Elaine can figure out who the child can embarrass Steven.,syntax,filler_gap_dependency,wh_vs_that_no_gap,513,p0,wh_vs_that_no_gap,target
Keith was apt to find out who is getting a job.,Keith was tough to find out who is getting a job.,syntax_semantics,control_raising,tough_vs_raising_2,737,p0,tough_vs_raising_2,target
There is soon to be an eggplant upsetting Monica.,There is happy to be an eggplant upsetting Monica.,syntax_semantics,control_raising,existential_there_subject_raising,660,p0,existential_there_subject_raising,target
David's boyfriend wasn't touring three out in the open banks and Randolf wasn't touring fewer.,David's open in boyfriend wasn't touring touring and the out Randolf banks wasn't three fewer.,syntax,ellipsis,ellipsis_n_bar_1,737,p0,ellipsis_n_bar_1,filler
Which child is Becky working with?,Which child working Becky is with?,syntax,island_effects,left_branch_island_simple_question,737,p0,left_branch_island_simple_question,filler
The box stunned that important school.,The box stunned that important schools.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,521,p0,determiner_noun_agreement_with_adjective_1,target
Every organization realized that every pedestrian hadn't passed most rivers.,Every organization realized what every pedestrian hadn't passed most rivers.,syntax,filler_gap_dependency,wh_vs_that_no_gap,740,p0,wh_vs_that_no_gap,target
The hamsters stun Renee.,The hamster stun Renee.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,859,p0,regular_plural_subject_verb_agreement_2,target
The known girl wasn't lost.,The knew girl wasn't lost.,morphology,irregular_forms,irregular_past_participle_adjectives,859,p0,irregular_past_participle_adjectives,target
The guys stand up.,The guy stand up.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,660,p0,regular_plural_subject_verb_agreement_2,target
Adam wouldn't find out that all fungi disgusted Rhonda.,Adam wouldn't find out who all fungi disgusted Rhonda.,syntax,filler_gap_dependency,wh_vs_that_no_gap,136,p0,wh_vs_that_no_gap,target
The known woman is serious.,The knew woman is serious.,morphology,irregular_forms,irregular_past_participle_adjectives,678,p0,irregular_past_participle_adjectives,target
Anna conceals that some guest did clean some hospital.,Anna conceals what some guest did clean some hospital.,syntax,filler_gap_dependency,wh_vs_that_no_gap,737,p0,wh_vs_that_no_gap,target
Which movie theaters had every teacher passed and Mitchell noticed?,Which had every teacher passed movie theaters and Mitchell noticed?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,626,p0,coordinate_structure_constraint_complex_left_branch,target
Veronica can drive to these good restaurants.,Veronica can drive to these good restaurant.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,136,p0,determiner_noun_agreement_with_adjective_1,target
Who are those waiters' employees who are referencing many documentaries about Galileo irritating?,Who are referencing are those who Galileo about many waiters' employees documentaries irritating?,syntax,island_effects,complex_NP_island,859,p0,complex_NP_island,filler
The schools weren't disturbing a lot of actors.,The school weren't disturbing a lot of actors.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,626,p0,regular_plural_subject_verb_agreement_2,target
Carol is certain to conceal Sandra.,Carol is pleasant to conceal Sandra.,syntax_semantics,control_raising,tough_vs_raising_2,626,p0,tough_vs_raising_2,target
All customers conceal most students.,All customers conceals most students.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,678,p0,regular_plural_subject_verb_agreement_1,target
Phillip discovers these busy women.,Phillip discovers this busy women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,411,p0,determiner_noun_agreement_with_adj_irregular_2,target
The girls think about themselves dropping by a grocery store.,The girls think about themselves drop by a grocery store.,syntax/semantics,binding,principle_A_case_2,521,p0,principle_A_case_2,target
All students' bosses were about to shout.,All students' bosses were annoying to shout.,syntax_semantics,control_raising,tough_vs_raising_2,136,p0,tough_vs_raising_2,target
