sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,Group,config,trial_type
Pamela hasn't climbed down that ladder.,Pamela haven't climbed down that ladder.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,319,p0,regular_plural_subject_verb_agreement_1,target
There turned out to be a movie about politics stunning Candice.,There needed to be a movie about politics stunning Candice.,syntax_semantics,control_raising,existential_there_subject_raising,319,p0,existential_there_subject_raising,target
Which museums has Amelia explored and Bill described?,Which has Amelia explored museums and Bill described?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,319,p0,coordinate_structure_constraint_complex_left_branch,target
The worn sweater is rough.,The wore sweater is rough.,morphology,irregular_forms,irregular_past_participle_adjectives,319,p0,irregular_past_participle_adjectives,target
A lot of men reference these good analyses.,A lot of men reference this good analyses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,319,p0,determiner_noun_agreement_with_adj_irregular_2,target
There was certain to be a box hurting Bethany.,There was happy to be a box hurting Bethany.,syntax_semantics,control_raising,existential_there_subject_raising,761,p0,existential_there_subject_raising,target
Some drivers annoys Derek.,Some drivers annoy Derek.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,761,p0,regular_plural_subject_verb_agreement_1,target
Robert couldn't embarrass those scared people.,Robert couldn't embarrass that scared people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,761,p0,determiner_noun_agreement_with_adj_irregular_2,target
Which scarves was Sarah wearing and Julia taking?,Which was Sarah wearing scarves and Julia taking?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,761,p0,coordinate_structure_constraint_complex_left_branch,target
The worn hats weren't green.,The wore hats weren't green.,morphology,irregular_forms,irregular_past_participle_adjectives,761,p0,irregular_past_participle_adjectives,target
Florence hasn't confused those standing men.,Florence hasn't confused that standing men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,883,p0,determiner_noun_agreement_with_adj_irregular_2,target
This library is annoying Ann.,This library are annoying Ann.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,883,p0,regular_plural_subject_verb_agreement_1,target
The known women are content.,The knew women are content.,morphology,irregular_forms,irregular_past_participle_adjectives,883,p0,irregular_past_participle_adjectives,target
There happened to be a girl remembering who tries to scratch.,There managed to be a girl remembering who tries to scratch.,syntax_semantics,control_raising,existential_there_subject_raising,883,p0,existential_there_subject_raising,target
Which restaurants will Carolyn find and Charles take?,Which will Carolyn find restaurants and Charles take?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,883,p0,coordinate_structure_constraint_complex_left_branch,target
Every photograph looks like those exposed people.,Every photograph looks like that exposed people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,280,p0,determiner_noun_agreement_with_adj_irregular_2,target
Which steps has Steven ascended and some doctor descended?,Which has Steven ascended steps and some doctor descended?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,280,p0,coordinate_structure_constraint_complex_left_branch,target
The hidden face was important.,The hid face was important.,morphology,irregular_forms,irregular_past_participle_adjectives,280,p0,irregular_past_participle_adjectives,target
There was seeming to be a glacier freezing.,There was intending to be a glacier freezing.,syntax_semantics,control_raising,existential_there_subject_raising,280,p0,existential_there_subject_raising,target
